Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0009","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0058","0.0004","0.0003","0.0000"
"0.0400","0.0010","0.0071","0.0010","0.0007","0.0001"
"0.0600","0.0021","0.0172","0.0021","0.0016","0.0001"
"0.0800","0.0038","0.0006","0.0038","0.0029","0.0000"
"0.1000","0.0066","-0.0088","0.0066","0.0051","-0.0001"
"0.1200","0.0119","0.0211","0.0119","0.0092","0.0002"
"0.1400","0.0196","0.0291","0.0196","0.0152","0.0002"
"0.1600","0.0263","-0.0107","0.0263","0.0203","-0.0001"
"0.1800","0.0330","-0.0145","0.0330","0.0256","-0.0001"
"0.2000","0.0396","0.0045","0.0396","0.0307","0.0000"
"0.2200","0.0467","0.0134","0.0467","0.0361","0.0001"
"0.2400","0.0548","0.0399","0.0548","0.0424","0.0003"
"0.2600","0.0610","0.0300","0.0610","0.0472","0.0002"
"0.2800","0.0662","0.0757","0.0662","0.0513","0.0006"
"0.3000","0.0717","0.2390","0.0717","0.0555","0.0019"
"0.3200","0.0778","0.3005","0.0778","0.0602","0.0023"
"0.3400","0.0845","0.3822","0.0845","0.0654","0.0030"
"0.3600","0.0914","0.5892","0.0914","0.0707","0.0046"
"0.3800","0.0989","0.6842","0.0989","0.0765","0.0053"
"0.4000","0.1076","0.9237","0.1076","0.0832","0.0072"
"0.4200","0.1141","1.1856","0.1141","0.0883","0.0092"
"0.4400","0.1195","1.5044","0.1195","0.0925","0.0117"
"0.4600","0.1250","1.7567","0.1250","0.0967","0.0136"
"0.4800","0.1312","1.9976","0.1312","0.1015","0.0155"
"0.5000","0.1380","2.2442","0.1380","0.1068","0.0174"
"0.5200","0.1447","2.5269","0.1447","0.1120","0.0196"
"0.5400","0.1521","2.8241","0.1521","0.1177","0.0219"
"0.5600","0.1604","3.1339","0.1604","0.1241","0.0243"
"0.5800","0.1664","3.4479","0.1664","0.1288","0.0268"
"0.6000","0.1719","3.7884","0.1719","0.1330","0.0294"
"0.6200","0.1776","4.1254","0.1776","0.1374","0.0320"
"0.6400","0.1841","4.4645","0.1841","0.1425","0.0347"
"0.6600","0.1913","4.8977","0.1913","0.1480","0.0380"
"0.6800","0.1982","5.3906","0.1982","0.1534","0.0419"
"0.7000","0.2059","5.9213","0.2059","0.1593","0.0460"
"0.7200","0.2136","6.4624","0.2136","0.1653","0.0502"
"0.7400","0.2194","6.9687","0.2194","0.1697","0.0541"
"0.7600","0.2249","7.3918","0.2249","0.1740","0.0574"
"0.7800","0.2307","7.7837","0.2307","0.1785","0.0604"
"0.8000","0.2373","8.1882","0.2373","0.1836","0.0636"
"0.8200","0.2442","8.6260","0.2442","0.1889","0.0670"
"0.8400","0.2509","9.0721","0.2509","0.1941","0.0704"
"0.8600","0.2589","9.5584","0.2589","0.2003","0.0742"
