Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0340","0.0000","0.0000","0.0003"
"0.0200","0.0004","0.0166","0.0004","0.0003","0.0001"
"0.0400","0.0016","0.0676","0.0016","0.0012","0.0005"
"0.0600","0.0057","0.3034","0.0057","0.0044","0.0024"
"0.0800","0.0133","0.8168","0.0133","0.0103","0.0063"
"0.1000","0.0221","1.5218","0.0221","0.0171","0.0118"
"0.1200","0.0290","2.0937","0.0290","0.0224","0.0163"
"0.1400","0.0342","2.4787","0.0342","0.0264","0.0192"
"0.1600","0.0397","2.7771","0.0397","0.0307","0.0216"
"0.1800","0.0460","3.0574","0.0460","0.0356","0.0237"
"0.2000","0.0529","3.4724","0.0529","0.0409","0.0270"
"0.2200","0.0599","3.9379","0.0599","0.0463","0.0306"
"0.2400","0.0674","4.3937","0.0674","0.0522","0.0341"
"0.2600","0.0758","4.8458","0.0758","0.0586","0.0376"
"0.2800","0.0816","5.3369","0.0816","0.0631","0.0414"
"0.3000","0.0867","5.7265","0.0867","0.0671","0.0445"
"0.3200","0.0921","6.0736","0.0921","0.0713","0.0472"
"0.3400","0.0980","6.4343","0.0980","0.0758","0.0500"
"0.3600","0.1047","6.8815","0.1047","0.0810","0.0534"
"0.3800","0.1116","7.3266","0.1116","0.0863","0.0569"
"0.4000","0.1187","7.7543","0.1187","0.0918","0.0602"
"0.4200","0.1272","8.2611","0.1272","0.0984","0.0641"
"0.4400","0.1340","8.7884","0.1340","0.1037","0.0682"
"0.4600","0.1395","9.2039","0.1395","0.1079","0.0715"
"0.4800","0.1450","9.5726","0.1450","0.1122","0.0743"
"0.5000","0.1511","9.9639","0.1511","0.1169","0.0774"
"0.5200","0.1578","10.4184","0.1578","0.1221","0.0809"
"0.5400","0.1646","10.8741","0.1646","0.1273","0.0844"
"0.5600","0.1720","11.3492","0.1720","0.1331","0.0881"
"0.5800","0.1804","11.9071","0.1804","0.1396","0.0925"
"0.6000","0.1868","12.4592","0.1868","0.1445","0.0967"
"0.6200","0.1923","12.9064","0.1923","0.1488","0.1002"
"0.6400","0.1980","13.3662","0.1980","0.1532","0.1038"
"0.6600","0.2043","13.8616","0.2043","0.1581","0.1076"
"0.6800","0.2110","14.4145","0.2110","0.1633","0.1119"
"0.7000","0.2177","14.9868","0.2177","0.1684","0.1164"
"0.7200","0.2253","15.6011","0.2253","0.1743","0.1211"
"0.7400","0.2336","16.2941","0.2336","0.1807","0.1265"
"0.7600","0.2395","16.9682","0.2395","0.1853","0.1317"
"0.7800","0.2449","17.5139","0.2449","0.1895","0.1360"
"0.8000","0.2508","18.0317","0.2508","0.1940","0.1400"
"0.8200","0.2575","18.5760","0.2575","0.1992","0.1442"
"0.8400","0.2646","19.1700","0.2646","0.2047","0.1488"
"0.8600","0.2718","19.7894","0.2718","0.2103","0.1537"
"0.8800","0.2802","20.4546","0.2802","0.2168","0.1588"
"0.9000","0.2879","21.1696","0.2879","0.2228","0.1644"
"0.9200","0.2936","21.7659","0.2936","0.2271","0.1690"
"0.9400","0.2990","22.2125","0.2990","0.2314","0.1725"
"0.9600","0.3049","22.6245","0.3049","0.2359","0.1757"
"0.9800","0.3115","23.0795","0.3115","0.2410","0.1792"
"1.0000","0.3183","23.5954","0.3183","0.2463","0.1832"
"1.0200","0.3250","24.1515","0.3250","0.2514","0.1875"
"1.0400","0.3330","24.7197","0.3330","0.2576","0.1919"
"1.0600","0.3403","25.3418","0.3403","0.2633","0.1968"
"1.0800","0.3457","25.8534","0.3457","0.2674","0.2007"
"1.1000","0.3511","26.2470","0.3511","0.2716","0.2038"
"1.1200","0.3570","26.6148","0.3570","0.2762","0.2066"
"1.1400","0.3638","27.0704","0.3638","0.2814","0.2102"
"1.1600","0.3709","27.6123","0.3709","0.2869","0.2144"
"1.1800","0.3782","28.1928","0.3782","0.2926","0.2189"
"1.2000","0.3868","28.8149","0.3868","0.2993","0.2237"
"1.2200","0.3940","29.4682","0.3940","0.3048","0.2288"
"1.2400","0.3995","29.9921","0.3995","0.3091","0.2329"
"1.2600","0.4052","30.3889","0.4052","0.3135","0.2360"
"1.2800","0.4115","30.7916","0.4115","0.3184","0.2391"
"1.3000","0.4182","31.2778","0.4182","0.3236","0.2429"
"1.3200","0.4249","31.8242","0.4249","0.3288","0.2471"
"1.3400","0.4323","32.3915","0.4323","0.3345","0.2515"
"1.3600","0.4407","33.0414","0.4407","0.3409","0.2565"
"1.3800","0.4470","33.7115","0.4470","0.3459","0.2617"
"1.4000","0.4524","34.2389","0.4524","0.3500","0.2658"
"1.4200","0.4581","34.6751","0.4581","0.3544","0.2692"
"1.4400","0.4645","35.1681","0.4645","0.3594","0.2731"
"1.4600","0.4715","35.7923","0.4715","0.3648","0.2779"
"1.4800","0.4785","36.4976","0.4785","0.3702","0.2834"
"1.5000","0.4861","37.2201","0.4861","0.3761","0.2890"
"1.5200","0.4941","38.0031","0.4941","0.3822","0.2951"
"1.5400","0.4998","38.7580","0.4998","0.3867","0.3009"
"1.5600","0.5053","39.3406","0.5053","0.3910","0.3055"
"1.5800","0.5112","39.8527","0.5112","0.3955","0.3094"
"1.6000","0.5178","40.3901","0.5178","0.4006","0.3136"
"1.6200","0.5247","41.0251","0.5247","0.4060","0.3185"
"1.6400","0.5314","41.7020","0.5314","0.4111","0.3238"
"1.6600","0.5390","42.4125","0.5390","0.4170","0.3293"
"1.6800","0.5470","43.1933","0.5470","0.4232","0.3354"
"1.7000","0.5529","43.9685","0.5529","0.4278","0.3414"
"1.7200","0.5586","44.5888","0.5586","0.4322","0.3462"
"1.7400","0.5647","45.1351","0.5647","0.4369","0.3504"
"1.7600","0.5714","45.7087","0.5714","0.4421","0.3549"
"1.7800","0.5781","46.3607","0.5781","0.4473","0.3600"
"1.8000","0.5849","47.0439","0.5849","0.4525","0.3653"
"1.8200","0.5931","47.7642","0.5931","0.4589","0.3709"
"1.8400","0.6010","48.6047","0.6010","0.4650","0.3774"
"1.8600","0.6069","49.3829","0.6069","0.4696","0.3834"
"1.8800","0.6126","49.9999","0.6126","0.4740","0.3882"
"1.9000","0.6184","50.5182","0.6184","0.4784","0.3922"
"1.9200","0.6247","51.0637","0.6247","0.4833","0.3965"
"1.9400","0.6311","51.6750","0.6311","0.4883","0.4012"
"1.9600","0.6375","52.3180","0.6375","0.4932","0.4062"
"1.9800","0.6453","53.0023","0.6453","0.4993","0.4115"
"2.0000","0.6529","53.8051","0.6529","0.5052","0.4178"
"2.0200","0.6587","54.5694","0.6587","0.5096","0.4237"
"2.0400","0.6645","55.1832","0.6645","0.5141","0.4285"
"2.0600","0.6710","55.7437","0.6710","0.5191","0.4328"
"2.0800","0.6783","56.3748","0.6783","0.5248","0.4377"
"2.1000","0.6855","57.1046","0.6855","0.5304","0.4434"
"2.1200","0.6932","57.8693","0.6932","0.5363","0.4493"
"2.1400","0.7013","58.6818","0.7013","0.5426","0.4556"
"2.1600","0.7072","59.4693","0.7072","0.5471","0.4617"
"2.1800","0.7124","60.0651","0.7124","0.5512","0.4664"
"2.2000","0.7181","60.5335","0.7181","0.5556","0.4700"
"2.2200","0.7243","61.0278","0.7243","0.5604","0.4738"
"2.2400","0.7310","61.6038","0.7310","0.5656","0.4783"
"2.2600","0.7376","62.2578","0.7376","0.5707","0.4834"
