Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0649","0.0000","0.0000","0.0005"
"0.0200","0.0004","0.0726","0.0004","0.0003","0.0006"
"0.0400","0.0017","0.0941","0.0017","0.0013","0.0007"
"0.0600","0.0063","0.2238","0.0063","0.0049","0.0017"
"0.0800","0.0150","0.4695","0.0150","0.0115","0.0036"
"0.1000","0.0239","0.6952","0.0239","0.0184","0.0054"
"0.1200","0.0301","0.8959","0.0301","0.0232","0.0070"
"0.1400","0.0358","1.0396","0.0358","0.0275","0.0081"
"0.1600","0.0414","1.1270","0.0414","0.0319","0.0088"
"0.1800","0.0476","1.1625","0.0476","0.0366","0.0090"
"0.2000","0.0538","1.1820","0.0538","0.0414","0.0092"
"0.2200","0.0602","1.2070","0.0602","0.0464","0.0094"
"0.2400","0.0675","1.2447","0.0675","0.0520","0.0097"
"0.2600","0.0751","1.2560","0.0751","0.0578","0.0098"
"0.2800","0.0807","1.1879","0.0807","0.0621","0.0092"
"0.3000","0.0862","1.2043","0.0862","0.0664","0.0094"
"0.3200","0.0922","1.3604","0.0922","0.0710","0.0106"
"0.3400","0.0988","1.5430","0.0988","0.0761","0.0120"
"0.3600","0.1056","1.7207","0.1056","0.0813","0.0134"
"0.3800","0.1122","1.8373","0.1122","0.0864","0.0143"
"0.4000","0.1198","1.9051","0.1198","0.0922","0.0148"
"0.4200","0.1279","1.9927","0.1279","0.0984","0.0155"
"0.4400","0.1338","2.0044","0.1338","0.1030","0.0156"
"0.4600","0.1394","2.0680","0.1394","0.1073","0.0161"
"0.4800","0.1452","2.1238","0.1452","0.1118","0.0165"
"0.5000","0.1521","2.1560","0.1521","0.1171","0.0167"
"0.5200","0.1594","2.2158","0.1594","0.1227","0.0172"
"0.5400","0.1665","2.2372","0.1665","0.1282","0.0174"
"0.5600","0.1748","2.2818","0.1748","0.1346","0.0177"
"0.5800","0.1822","2.3057","0.1822","0.1402","0.0179"
"0.6000","0.1874","2.3102","0.1874","0.1442","0.0179"
"0.6200","0.1926","2.3297","0.1926","0.1483","0.0181"
"0.6400","0.1983","2.3781","0.1983","0.1527","0.0185"
"0.6600","0.2048","2.4455","0.2048","0.1576","0.0190"
"0.6800","0.2114","2.5423","0.2114","0.1627","0.0197"
"0.7000","0.2182","2.6675","0.2182","0.1680","0.0207"
"0.7200","0.2263","2.8096","0.2263","0.1742","0.0218"
"0.7400","0.2340","2.9785","0.2340","0.1801","0.0231"
"0.7600","0.2396","3.1395","0.2396","0.1845","0.0244"
"0.7800","0.2455","3.2822","0.2455","0.1889","0.0255"
"0.8000","0.2516","3.4053","0.2516","0.1937","0.0264"
"0.8200","0.2584","3.5240","0.2584","0.1989","0.0274"
"0.8400","0.2651","3.6565","0.2651","0.2041","0.0284"
"0.8600","0.2723","3.8100","0.2723","0.2096","0.0296"
"0.8800","0.2807","3.9892","0.2807","0.2160","0.0310"
"0.9000","0.2877","4.1996","0.2877","0.2215","0.0326"
"0.9200","0.2932","4.3421","0.2932","0.2257","0.0337"
"0.9400","0.2986","4.4794","0.2986","0.2299","0.0348"
"0.9600","0.3046","4.6026","0.3046","0.2345","0.0357"
"0.9800","0.3113","4.7241","0.3113","0.2396","0.0367"
"1.0000","0.3181","4.8438","0.3181","0.2448","0.0376"
"1.0200","0.3256","4.9226","0.3256","0.2506","0.0382"
"1.0400","0.3342","4.9388","0.3342","0.2573","0.0383"
"1.0600","0.3411","4.7897","0.3411","0.2625","0.0372"
"1.0800","0.3468","4.6453","0.3468","0.2670","0.0361"
"1.1000","0.3526","4.7019","0.3526","0.2714","0.0365"
"1.1200","0.3591","4.8811","0.3591","0.2764","0.0379"
"1.1400","0.3660","5.1056","0.3660","0.2817","0.0396"
"1.1600","0.3727","5.3436","0.3727","0.2869","0.0415"
"1.1800","0.3804","5.5670","0.3804","0.2928","0.0432"
"1.2000","0.3882","5.7754","0.3882","0.2988","0.0448"
"1.2200","0.3935","5.9291","0.3935","0.3029","0.0460"
"1.2400","0.3988","6.0317","0.3988","0.3070","0.0468"
"1.2600","0.4046","6.1655","0.4046","0.3114","0.0479"
"1.2800","0.4112","6.3237","0.4112","0.3165","0.0491"
"1.3000","0.4184","6.4933","0.4184","0.3220","0.0504"
"1.3200","0.4255","6.6466","0.4255","0.3275","0.0516"
"1.3400","0.4335","6.7642","0.4335","0.3337","0.0525"
"1.3600","0.4414","6.8467","0.4414","0.3397","0.0532"
"1.3800","0.4471","6.8909","0.4471","0.3441","0.0535"
"1.4000","0.4527","6.9362","0.4527","0.3484","0.0539"
"1.4200","0.4587","7.0530","0.4587","0.3531","0.0548"
"1.4400","0.4657","7.2369","0.4657","0.3585","0.0562"
"1.4600","0.4726","7.4605","0.4726","0.3638","0.0579"
"1.4800","0.4796","7.6807","0.4796","0.3692","0.0596"
"1.5000","0.4880","7.9258","0.4880","0.3756","0.0615"
"1.5200","0.4953","8.1805","0.4953","0.3812","0.0635"
"1.5400","0.5007","8.4257","0.5007","0.3854","0.0654"
"1.5600","0.5063","8.6136","0.5063","0.3897","0.0669"
"1.5800","0.5122","8.8138","0.5122","0.3942","0.0684"
"1.6000","0.5185","9.0768","0.5185","0.3991","0.0705"
"1.6200","0.5248","9.3772","0.5248","0.4039","0.0728"
"1.6400","0.5315","9.7257","0.5315","0.4091","0.0755"
"1.6600","0.5396","10.1424","0.5396","0.4154","0.0787"
"1.6800","0.5470","10.6561","0.5470","0.4210","0.0827"
"1.7000","0.5528","11.1523","0.5528","0.4255","0.0866"
"1.7200","0.5585","11.6157","0.5585","0.4299","0.0902"
"1.7400","0.5649","12.0646","0.5649","0.4348","0.0937"
"1.7600","0.5719","12.5753","0.5719","0.4402","0.0976"
"1.7800","0.5788","13.1392","0.5788","0.4455","0.1020"
"1.8000","0.5862","13.7375","0.5862","0.4512","0.1067"
"1.8200","0.5948","14.3763","0.5948","0.4578","0.1116"
"1.8400","0.6010","15.0485","0.6010","0.4626","0.1168"
"1.8600","0.6063","15.5949","0.6063","0.4667","0.1211"
"1.8800","0.6120","16.0421","0.6120","0.4711","0.1246"
"1.9000","0.6184","16.4860","0.6184","0.4760","0.1280"
"1.9200","0.6251","16.9986","0.6251","0.4812","0.1320"
"1.9400","0.6320","17.5664","0.6320","0.4865","0.1364"
"1.9600","0.6400","18.1782","0.6400","0.4926","0.1411"
"1.9800","0.6486","18.8731","0.6486","0.4992","0.1465"
"2.0000","0.6549","19.5778","0.6549","0.5041","0.1520"
"2.0200","0.6606","20.1478","0.6606","0.5085","0.1564"
"2.0400","0.6665","20.6150","0.6665","0.5130","0.1601"
"2.0600","0.6728","21.0660","0.6728","0.5179","0.1636"
"2.0800","0.6793","21.5510","0.6793","0.5228","0.1673"
"2.1000","0.6856","22.0707","0.6856","0.5277","0.1714"
"2.1200","0.6927","22.5877","0.6927","0.5332","0.1754"
"2.1400","0.7003","23.1545","0.7003","0.5390","0.1798"
"2.1600","0.7063","23.7173","0.7063","0.5436","0.1841"
"2.1800","0.7119","24.1725","0.7119","0.5479","0.1877"
"2.2000","0.7177","24.5671","0.7177","0.5524","0.1907"
"2.2200","0.7242","24.9547","0.7242","0.5574","0.1938"
"2.2400","0.7311","25.3807","0.7311","0.5628","0.1971"
"2.2600","0.7384","25.8383","0.7384","0.5683","0.2006"
"2.2800","0.7471","26.3361","0.7471","0.5751","0.2045"
"2.3000","0.7552","26.8661","0.7552","0.5813","0.2086"
"2.3200","0.7606","27.3145","0.7606","0.5854","0.2121"
"2.3400","0.7659","27.5872","0.7659","0.5896","0.2142"
"2.3600","0.7720","27.8267","0.7720","0.5942","0.2161"
"2.3800","0.7790","28.1365","0.7790","0.5996","0.2185"
"2.4000","0.7860","28.5491","0.7860","0.6050","0.2217"
"2.4200","0.7931","28.9856","0.7931","0.6105","0.2251"
"2.4400","0.8010","29.4381","0.8010","0.6165","0.2286"
"2.4600","0.8075","29.8729","0.8075","0.6215","0.2319"
"2.4800","0.8127","30.2038","0.8127","0.6255","0.2345"
"2.5000","0.8182","30.4508","0.8182","0.6298","0.2364"
"2.5200","0.8245","30.7202","0.8245","0.6346","0.2385"
"2.5400","0.8315","31.0782","0.8315","0.6400","0.2413"
"2.5600","0.8386","31.5086","0.8386","0.6454","0.2446"
"2.5800","0.8462","31.9752","0.8462","0.6513","0.2483"
"2.6000","0.8548","32.4910","0.8548","0.6579","0.2523"
"2.6200","0.8614","33.0107","0.8614","0.6630","0.2563"
"2.6400","0.8667","33.3976","0.8667","0.6671","0.2593"
"2.6600","0.8724","33.6848","0.8724","0.6715","0.2615"
"2.6800","0.8789","33.9718","0.8789","0.6765","0.2638"
"2.7000","0.8857","34.3560","0.8857","0.6817","0.2668"
"2.7200","0.8922","34.7791","0.8922","0.6867","0.2700"
"2.7400","0.8994","35.2158","0.8994","0.6923","0.2734"
"2.7600","0.9076","35.7135","0.9076","0.6986","0.2773"
"2.7800","0.9138","36.2374","0.9138","0.7034","0.2814"
"2.8000","0.9193","36.6559","0.9193","0.7076","0.2846"
"2.8200","0.9251","36.9992","0.9251","0.7120","0.2873"
"2.8400","0.9315","37.3405","0.9315","0.7170","0.2899"
"2.8600","0.9384","37.7505","0.9384","0.7223","0.2931"
"2.8800","0.9452","38.2247","0.9452","0.7276","0.2968"
"2.9000","0.9534","38.7486","0.9534","0.7339","0.3009"
"2.9200","0.9621","39.3815","0.9621","0.7406","0.3058"
"2.9400","0.9684","40.0012","0.9684","0.7454","0.3106"
"2.9600","0.9740","40.4605","0.9740","0.7497","0.3141"
"2.9800","0.9797","40.8056","0.9797","0.7541","0.3168"
"3.0000","0.9861","41.1565","0.9861","0.7590","0.3196"
"3.0200","0.9927","41.5847","0.9927","0.7641","0.3229"
"3.0400","0.9994","42.0578","0.9994","0.7693","0.3266"
"3.0600","1.0072","42.5723","1.0072","0.7752","0.3305"
"3.0800","1.0143","43.1376","1.0143","0.7807","0.3349"
"3.1000","1.0195","43.6387","1.0195","0.7847","0.3388"
"3.1200","1.0248","44.0040","1.0248","0.7888","0.3417"
"3.1400","1.0308","44.3529","1.0308","0.7934","0.3444"
"3.1600","1.0376","44.7655","1.0376","0.7987","0.3476"
"3.1800","1.0449","45.2899","1.0449","0.8043","0.3516"
"3.2000","1.0524","45.8832","1.0524","0.8101","0.3563"
"3.2200","1.0613","46.5581","1.0613","0.8169","0.3615"
"3.2400","1.0686","47.3140","1.0686","0.8225","0.3674"
"3.2600","1.0741","47.9926","1.0741","0.8268","0.3726"
"3.2800","1.0798","48.5185","1.0798","0.8311","0.3767"
"3.3000","1.0858","49.0090","1.0858","0.8358","0.3805"
"3.3200","1.0923","49.5349","1.0923","0.8408","0.3846"
"3.3400","1.0987","50.1316","1.0987","0.8456","0.3892"
"3.3600","1.1055","50.7500","1.1055","0.8509","0.3940"
"3.3800","1.1138","51.4445","1.1138","0.8573","0.3994"
"3.4000","1.1209","52.2348","1.1209","0.8628","0.4056"
"3.4200","1.1267","52.9602","1.1267","0.8672","0.4112"
"3.4400","1.1324","53.5449","1.1324","0.8716","0.4157"
"3.4600","1.1385","54.0692","1.1385","0.8763","0.4198"
"3.4800","1.1451","54.6378","1.1451","0.8814","0.4242"
"3.5000","1.1518","55.2567","1.1518","0.8866","0.4290"
"3.5200","1.1594","55.9288","1.1594","0.8924","0.4343"
"3.5400","1.1679","56.6885","1.1679","0.8989","0.4401"
"3.5600","1.1742","57.4821","1.1742","0.9038","0.4463"
"3.5800","1.1797","58.1388","1.1797","0.9080","0.4514"
"3.6000","1.1853","58.6539","1.1853","0.9124","0.4554"
"3.6200","1.1917","59.1457","1.1917","0.9173","0.4592"
"3.6400","1.1985","59.7115","1.1985","0.9225","0.4636"
"3.6600","1.2053","60.3485","1.2053","0.9277","0.4686"
"3.6800","1.2129","61.0097","1.2129","0.9336","0.4737"
"3.7000","1.2211","61.7583","1.2211","0.9399","0.4795"
"3.7200","1.2269","62.4977","1.2269","0.9444","0.4853"
"3.7400","1.2324","63.0839","1.2324","0.9485","0.4898"
"3.7600","1.2384","63.5645","1.2384","0.9532","0.4935"
"3.7800","1.2453","64.0670","1.2453","0.9585","0.4974"
"3.8000","1.2524","64.6619","1.2524","0.9640","0.5021"
"3.8200","1.2595","65.3234","1.2595","0.9694","0.5072"
"3.8400","1.2677","66.0133","1.2677","0.9757","0.5126"
"3.8600","1.2753","66.7779","1.2753","0.9816","0.5185"
"3.8800","1.2810","67.4766","1.2810","0.9860","0.5239"
"3.9000","1.2866","68.0151","1.2866","0.9903","0.5281"
"3.9200","1.2925","68.4762","1.2925","0.9948","0.5317"
"3.9400","1.2990","68.9508","1.2990","0.9999","0.5354"
"3.9600","1.3055","69.5019","1.3055","1.0049","0.5396"
"3.9800","1.3122","70.0885","1.3122","1.0100","0.5442"
"4.0000","1.3203","70.7265","1.3203","1.0162","0.5491"
"4.0200","1.3278","71.4593","1.3278","1.0220","0.5548"
"4.0400","1.3334","72.1478","1.3334","1.0263","0.5602"
"4.0600","1.3389","72.6690","1.3389","1.0306","0.5642"
"4.0800","1.3449","73.1322","1.3449","1.0352","0.5678"
"4.1000","1.3516","73.6185","1.3516","1.0403","0.5716"
"4.1200","1.3585","74.2007","1.3585","1.0456","0.5761"
"4.1400","1.3658","74.8283","1.3658","1.0512","0.5810"
"4.1600","1.3745","75.5382","1.3745","1.0579","0.5865"
"4.1800","1.3816","76.3135","1.3816","1.0634","0.5925"
"4.2000","1.3870","76.9881","1.3870","1.0676","0.5978"
"4.2200","1.3925","77.4852","1.3925","1.0718","0.6016"
"4.2400","1.3987","77.9205","1.3987","1.0766","0.6050"
"4.2600","1.4055","78.4142","1.4055","1.0818","0.6088"
"4.2800","1.4124","78.9967","1.4124","1.0871","0.6134"
"4.3000","1.4198","79.6307","1.4198","1.0928","0.6183"
"4.3110","1.4244","80.0053","1.4244","1.0964","0.6212"

