Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","-0.0092","0.0000","0.0000","-0.0001"
"0.0200","0.0004","0.0017","0.0004","0.0004","0.0000"
"0.0400","0.0019","0.0773","0.0019","0.0019","0.0006"
"0.0600","0.0066","0.1321","0.0066","0.0066","0.0010"
"0.0800","0.0138","0.2052","0.0138","0.0138","0.0016"
"0.1000","0.0206","0.1735","0.0206","0.0207","0.0013"
"0.1200","0.0274","0.2174","0.0274","0.0276","0.0017"
"0.1400","0.0345","0.2937","0.0345","0.0346","0.0023"
"0.1600","0.0426","0.3058","0.0426","0.0428","0.0024"
"0.1800","0.0505","0.4252","0.0505","0.0507","0.0033"
"0.2000","0.0559","0.6185","0.0559","0.0562","0.0048"
"0.2200","0.0613","0.7338","0.0613","0.0616","0.0057"
"0.2400","0.0668","0.8694","0.0668","0.0672","0.0068"
"0.2600","0.0731","0.9552","0.0731","0.0734","0.0074"
"0.2800","0.0795","1.0513","0.0795","0.0799","0.0082"
"0.3000","0.0858","1.1753","0.0858","0.0862","0.0091"
"0.3200","0.0931","1.2643","0.0931","0.0935","0.0098"
"0.3400","0.1010","1.4140","0.1010","0.1015","0.0110"
"0.3600","0.1070","1.6134","0.1070","0.1075","0.0125"
"0.3800","0.1127","1.7052","0.1127","0.1132","0.0132"
"0.4000","0.1187","1.8240","0.1187","0.1192","0.0142"
"0.4200","0.1252","1.9997","0.1252","0.1258","0.0155"
"0.4400","0.1323","2.1101","0.1323","0.1329","0.0164"
"0.4600","0.1393","2.2232","0.1393","0.1400","0.0173"
"0.4800","0.1472","2.3700","0.1472","0.1480","0.0184"
"0.5000","0.1550","2.5227","0.1550","0.1558","0.0196"
"0.5200","0.1606","2.6918","0.1606","0.1613","0.0209"
"0.5400","0.1660","2.7815","0.1660","0.1668","0.0216"
"0.5600","0.1719","2.9372","0.1719","0.1728","0.0228"
"0.5800","0.1787","3.1791","0.1787","0.1795","0.0247"
"0.6000","0.1855","3.3887","0.1855","0.1864","0.0263"
"0.6200","0.1925","3.6430","0.1925","0.1935","0.0283"
"0.6400","0.2007","3.9629","0.2007","0.2017","0.0308"
"0.6600","0.2083","4.2613","0.2083","0.2093","0.0331"
"0.6800","0.2141","4.5501","0.2141","0.2151","0.0353"
"0.7000","0.2198","4.8088","0.2198","0.2209","0.0373"
"0.7200","0.2258","5.0384","0.2258","0.2269","0.0391"
"0.7400","0.2327","5.2908","0.2327","0.2338","0.0411"
"0.7600","0.2395","5.5400","0.2395","0.2407","0.0430"
"0.7800","0.2464","5.8059","0.2464","0.2476","0.0451"
"0.8000","0.2545","6.1388","0.2545","0.2557","0.0477"
"0.8200","0.2616","6.4210","0.2616","0.2628","0.0499"
"0.8400","0.2671","6.6744","0.2671","0.2684","0.0518"
"0.8600","0.2726","6.9284","0.2726","0.2739","0.0538"
"0.8800","0.2787","7.1248","0.2787","0.2801","0.0553"
"0.9000","0.2853","7.3340","0.2853","0.2866","0.0569"
"0.9200","0.2919","7.5962","0.2919","0.2933","0.0590"
"0.9400","0.2991","7.8470","0.2991","0.3006","0.0609"
"0.9600","0.3077","8.0518","0.3077","0.3091","0.0625"
"0.9800","0.3145","8.1377","0.3145","0.3160","0.0632"
"1.0000","0.3200","8.1565","0.3200","0.3215","0.0633"
"1.0200","0.3255","8.2762","0.3255","0.3270","0.0643"
"1.0400","0.3318","8.4105","0.3318","0.3334","0.0653"
"1.0600","0.3389","8.5604","0.3389","0.3405","0.0665"
"1.0800","0.3459","8.7571","0.3459","0.3475","0.0680"
"1.1000","0.3537","8.9699","0.3537","0.3554","0.0696"
"1.1200","0.3621","9.2561","0.3621","0.3639","0.0719"
"1.1400","0.3682","9.5951","0.3682","0.3699","0.0745"
"1.1600","0.3734","9.8986","0.3734","0.3752","0.0769"
"1.1800","0.3788","10.1875","0.3788","0.3806","0.0791"
"1.2000","0.3850","10.4608","0.3850","0.3868","0.0812"
"1.2200","0.3917","10.7181","0.3917","0.3936","0.0832"
"1.2400","0.3986","11.0341","0.3986","0.4005","0.0857"
"1.2600","0.4063","11.3486","0.4063","0.4083","0.0881"
"1.2800","0.4144","11.6842","0.4144","0.4164","0.0907"
"1.3000","0.4205","12.0580","0.4205","0.4225","0.0936"
"1.3200","0.4261","12.3687","0.4261","0.4281","0.0960"
"1.3400","0.4320","12.6411","0.4320","0.4341","0.0981"
"1.3600","0.4388","12.9370","0.4388","0.4409","0.1004"
"1.3800","0.4459","13.2329","0.4459","0.4480","0.1027"
"1.4000","0.4528","13.5643","0.4528","0.4550","0.1053"
"1.4200","0.4609","13.9066","0.4609","0.4632","0.1080"
"1.4400","0.4685","14.2541","0.4685","0.4707","0.1107"
"1.4600","0.4740","14.6117","0.4740","0.4763","0.1135"
"1.4800","0.4795","14.8972","0.4795","0.4818","0.1157"
"1.5000","0.4854","15.1426","0.4854","0.4877","0.1176"
"1.5200","0.4920","15.4249","0.4920","0.4944","0.1198"
"1.5400","0.4988","15.7300","0.4988","0.5012","0.1221"
"1.5600","0.5058","16.0398","0.5058","0.5082","0.1245"
"1.5800","0.5143","16.4078","0.5143","0.5168","0.1274"
"1.6000","0.5218","16.7691","0.5218","0.5243","0.1302"
"1.6200","0.5275","17.1245","0.5275","0.5300","0.1330"
"1.6400","0.5333","17.4399","0.5333","0.5359","0.1354"
"1.6600","0.5395","17.7110","0.5395","0.5421","0.1375"
"1.6800","0.5462","18.0084","0.5462","0.5488","0.1398"
"1.7000","0.5530","18.3378","0.5530","0.5557","0.1424"
"1.7200","0.5600","18.6659","0.5600","0.5627","0.1449"
"1.7400","0.5682","19.0474","0.5682","0.5710","0.1479"
"1.7600","0.5747","19.4283","0.5747","0.5774","0.1508"
"1.7800","0.5798","19.7523","0.5798","0.5826","0.1534"
"1.8000","0.5854","20.0501","0.5854","0.5883","0.1557"
"1.8200","0.5917","20.3172","0.5917","0.5945","0.1578"
"1.8400","0.5987","20.6014","0.5987","0.6016","0.1600"
"1.8600","0.6059","20.9508","0.6059","0.6088","0.1627"
"1.8800","0.6134","21.3151","0.6134","0.6163","0.1655"
