Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0096","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0124","0.0004","0.0004","0.0001"
"0.0400","0.0020","0.0834","0.0020","0.0020","0.0006"
"0.0600","0.0069","0.3293","0.0069","0.0069","0.0026"
"0.0800","0.0139","0.6759","0.0139","0.0139","0.0052"
"0.1000","0.0208","1.0356","0.0208","0.0209","0.0080"
"0.1200","0.0282","1.3320","0.0282","0.0283","0.0103"
"0.1400","0.0356","1.4710","0.0356","0.0357","0.0114"
"0.1600","0.0437","1.5384","0.0437","0.0438","0.0119"
"0.1800","0.0511","1.6364","0.0511","0.0513","0.0127"
"0.2000","0.0563","1.7259","0.0563","0.0565","0.0134"
"0.2200","0.0616","1.8505","0.0616","0.0618","0.0144"
"0.2400","0.0672","2.0066","0.0672","0.0674","0.0156"
"0.2600","0.0736","2.2035","0.0736","0.0738","0.0171"
"0.2800","0.0803","2.4802","0.0803","0.0806","0.0193"
"0.3000","0.0871","2.8098","0.0871","0.0874","0.0218"
"0.3200","0.0947","3.1960","0.0947","0.0951","0.0248"
"0.3400","0.1025","3.6353","0.1025","0.1028","0.0282"
"0.3600","0.1083","4.0383","0.1083","0.1087","0.0314"
"0.3800","0.1140","4.4481","0.1140","0.1144","0.0345"
"0.4000","0.1199","4.8412","0.1199","0.1203","0.0376"
"0.4200","0.1261","5.2453","0.1261","0.1266","0.0407"
"0.4400","0.1325","5.6957","0.1325","0.1330","0.0442"
"0.4600","0.1387","6.1571","0.1387","0.1392","0.0478"
"0.4800","0.1460","6.6305","0.1460","0.1466","0.0515"
"0.5000","0.1541","7.1517","0.1541","0.1547","0.0555"
"0.5200","0.1603","7.6608","0.1603","0.1609","0.0595"
"0.5400","0.1658","8.0929","0.1658","0.1664","0.0628"
"0.5600","0.1718","8.5165","0.1718","0.1725","0.0661"
"0.5800","0.1787","8.9595","0.1787","0.1793","0.0696"
"0.6000","0.1857","9.5033","0.1857","0.1864","0.0738"
"0.6200","0.1928","10.0918","0.1928","0.1935","0.0784"
"0.6400","0.2009","10.7272","0.2009","0.2017","0.0833"
"0.6600","0.2079","11.4209","0.2079","0.2087","0.0887"
"0.6800","0.2131","12.0406","0.2131","0.2139","0.0935"
"0.7000","0.2187","12.5400","0.2187","0.2195","0.0974"
"0.7200","0.2251","13.0254","0.2251","0.2259","0.1011"
"0.7400","0.2324","13.5623","0.2324","0.2333","0.1053"
"0.7600","0.2398","14.1789","0.2398","0.2407","0.1101"
"0.7800","0.2474","14.8183","0.2474","0.2483","0.1151"
"0.8000","0.2557","15.4787","0.2557","0.2566","0.1202"
"0.8200","0.2620","16.1368","0.2620","0.2630","0.1253"
"0.8400","0.2673","16.6568","0.2673","0.2683","0.1293"
"0.8600","0.2730","17.0538","0.2730","0.2740","0.1324"
"0.8800","0.2792","17.4543","0.2792","0.2802","0.1355"
"0.9000","0.2858","17.9059","0.2858","0.2869","0.1390"
"0.9200","0.2923","18.4217","0.2923","0.2934","0.1430"
"0.9400","0.2993","18.9661","0.2993","0.3004","0.1473"
"0.9600","0.3075","19.5601","0.3075","0.3087","0.1519"
