Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0071","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0107","0.0004","0.0004","0.0001"
"0.0400","0.0020","0.0351","0.0020","0.0020","0.0003"
"0.0600","0.0068","0.1239","0.0068","0.0068","0.0010"
"0.0800","0.0140","0.3622","0.0140","0.0140","0.0028"
"0.1000","0.0204","0.6159","0.0204","0.0205","0.0048"
"0.1200","0.0269","0.8546","0.0269","0.0270","0.0066"
"0.1400","0.0340","1.1519","0.0340","0.0342","0.0089"
"0.1600","0.0420","1.5441","0.0420","0.0421","0.0120"
"0.1800","0.0500","2.0583","0.0500","0.0502","0.0160"
"0.2000","0.0556","2.6089","0.0556","0.0558","0.0203"
"0.2200","0.0608","3.1051","0.0608","0.0611","0.0241"
"0.2400","0.0664","3.5549","0.0664","0.0667","0.0276"
"0.2600","0.0727","4.0026","0.0727","0.0730","0.0311"
"0.2800","0.0796","4.4916","0.0796","0.0799","0.0349"
"0.3000","0.0864","5.0493","0.0864","0.0867","0.0392"
"0.3200","0.0939","5.6335","0.0939","0.0943","0.0437"
"0.3400","0.1021","6.2763","0.1021","0.1024","0.0487"
"0.3600","0.1082","6.9207","0.1082","0.1086","0.0537"
"0.3800","0.1138","7.4882","0.1138","0.1143","0.0581"
"0.4000","0.1196","7.9897","0.1196","0.1200","0.0620"
"0.4200","0.1260","8.5022","0.1260","0.1265","0.0660"
"0.4400","0.1328","9.0552","0.1328","0.1333","0.0703"
"0.4600","0.1394","9.6469","0.1394","0.1399","0.0749"
"0.4800","0.1471","10.2707","0.1471","0.1476","0.0797"
"0.5000","0.1549","10.9525","0.1549","0.1555","0.0850"
"0.5200","0.1606","11.6172","0.1606","0.1612","0.0902"
"0.5400","0.1660","12.1734","0.1660","0.1666","0.0945"
"0.5600","0.1718","12.6673","0.1718","0.1724","0.0984"
"0.5800","0.1785","13.1799","0.1785","0.1791","0.1023"
"0.6000","0.1855","13.7716","0.1855","0.1861","0.1069"
"0.6200","0.1924","14.3944","0.1924","0.1931","0.1118"
"0.6400","0.2008","15.0580","0.2008","0.2015","0.1169"
"0.6600","0.2084","15.7974","0.2084","0.2091","0.1227"
"0.6800","0.2139","16.4828","0.2139","0.2147","0.1280"
"0.7000","0.2194","17.0175","0.2194","0.2202","0.1321"
"0.7200","0.2254","17.4880","0.2254","0.2262","0.1358"
"0.7400","0.2323","17.9823","0.2323","0.2331","0.1396"
"0.7600","0.2391","18.5600","0.2391","0.2400","0.1441"
"0.7800","0.2460","19.1594","0.2460","0.2469","0.1488"
"0.8000","0.2541","19.7713","0.2541","0.2550","0.1535"
"0.8200","0.2614","20.4463","0.2614","0.2623","0.1588"
"0.8400","0.2672","21.0628","0.2672","0.2681","0.1635"
"0.8600","0.2729","21.5754","0.2729","0.2739","0.1675"
"0.8800","0.2790","22.0294","0.2790","0.2800","0.1710"
"0.9000","0.2856","22.5178","0.2856","0.2867","0.1748"
"0.9200","0.2922","23.0392","0.2922","0.2932","0.1789"
"0.9400","0.2990","23.5930","0.2990","0.3001","0.1832"
"0.9600","0.3071","24.1721","0.3071","0.3083","0.1877"
"0.9800","0.3141","24.8255","0.3141","0.3152","0.1928"
