Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0674","0.0000","0.0000","0.0005"
"0.0200","0.0003","0.0561","0.0003","0.0003","0.0004"
"0.0400","0.0010","0.0728","0.0010","0.0010","0.0006"
"0.0600","0.0022","0.1221","0.0022","0.0022","0.0009"
"0.0800","0.0040","0.2060","0.0040","0.0040","0.0016"
"0.1000","0.0072","0.3374","0.0072","0.0072","0.0026"
"0.1200","0.0136","0.4364","0.0136","0.0137","0.0034"
"0.1400","0.0211","0.6204","0.0211","0.0212","0.0048"
"0.1600","0.0270","0.8726","0.0270","0.0271","0.0068"
"0.1800","0.0329","1.0726","0.0329","0.0331","0.0083"
"0.2000","0.0390","1.2475","0.0390","0.0392","0.0097"
"0.2200","0.0457","1.4382","0.0457","0.0460","0.0112"
"0.2400","0.0525","1.5979","0.0525","0.0527","0.0124"
"0.2600","0.0594","1.7310","0.0594","0.0596","0.0134"
"0.2800","0.0676","1.8433","0.0676","0.0679","0.0143"
"0.3000","0.0747","1.9122","0.0747","0.0750","0.0148"
"0.3200","0.0800","2.0420","0.0800","0.0804","0.0159"
"0.3400","0.0856","2.2599","0.0856","0.0860","0.0175"
"0.3600","0.0917","2.5201","0.0917","0.0921","0.0196"
"0.3800","0.0984","2.7840","0.0984","0.0989","0.0216"
"0.4000","0.1052","3.0434","0.1052","0.1057","0.0236"
"0.4200","0.1125","3.3262","0.1125","0.1130","0.0258"
"0.4400","0.1210","3.6540","0.1210","0.1216","0.0284"
"0.4600","0.1277","3.9980","0.1277","0.1283","0.0310"
"0.4800","0.1333","4.3197","0.1333","0.1339","0.0335"
"0.5000","0.1390","4.5872","0.1390","0.1396","0.0356"
"0.5200","0.1453","4.8225","0.1453","0.1460","0.0374"
"0.5400","0.1522","5.0888","0.1522","0.1530","0.0395"
"0.5600","0.1589","5.3624","0.1589","0.1597","0.0416"
"0.5800","0.1663","5.6721","0.1663","0.1671","0.0440"
"0.6000","0.1748","6.0136","0.1748","0.1756","0.0467"
"0.6200","0.1812","6.3499","0.1812","0.1821","0.0493"
"0.6400","0.1870","6.6501","0.1870","0.1879","0.0516"
"0.6600","0.1927","6.9249","0.1927","0.1936","0.0538"
"0.6800","0.1988","7.1754","0.1988","0.1998","0.0557"
"0.7000","0.2053","7.4313","0.2053","0.2063","0.0577"
"0.7200","0.2119","7.7043","0.2119","0.2129","0.0598"
"0.7400","0.2195","7.9975","0.2195","0.2205","0.0621"
"0.7600","0.2277","8.3265","0.2277","0.2288","0.0646"
"0.7800","0.2337","8.6672","0.2337","0.2349","0.0673"
"0.8000","0.2394","8.9739","0.2394","0.2405","0.0697"
"0.8200","0.2453","9.2422","0.2453","0.2464","0.0718"
"0.8400","0.2518","9.4973","0.2518","0.2530","0.0737"
"0.8600","0.2587","9.7591","0.2587","0.2600","0.0758"
"0.8800","0.2657","10.0534","0.2657","0.2670","0.0781"
"0.9000","0.2740","10.3814","0.2740","0.2753","0.0806"
"0.9200","0.2817","10.7285","0.2817","0.2831","0.0833"
"0.9400","0.2872","11.0427","0.2872","0.2886","0.0857"
"0.9600","0.2928","11.3355","0.2928","0.2942","0.0880"
"0.9800","0.2988","11.5955","0.2988","0.3003","0.0900"
"1.0000","0.3057","11.8629","0.3057","0.3072","0.0921"
"1.0200","0.3124","12.1529","0.3124","0.3139","0.0944"
"1.0400","0.3194","12.4525","0.3194","0.3209","0.0967"
"1.0600","0.3277","12.7669","0.3277","0.3293","0.0991"
"1.0800","0.3349","13.1008","0.3349","0.3366","0.1017"
"1.1000","0.3407","13.4110","0.3407","0.3423","0.1041"
"1.1200","0.3465","13.7030","0.3465","0.3482","0.1064"
"1.1400","0.3527","13.9829","0.3527","0.3544","0.1086"
"1.1600","0.3596","14.2493","0.3596","0.3613","0.1106"
"1.1800","0.3662","14.5512","0.3662","0.3680","0.1130"
"1.2000","0.3733","14.8473","0.3733","0.3751","0.1153"
"1.2200","0.3814","15.1626","0.3814","0.3833","0.1177"
"1.2400","0.3882","15.4908","0.3882","0.3900","0.1203"
"1.2600","0.3937","15.7809","0.3937","0.3956","0.1225"
"1.2800","0.3995","16.0532","0.3995","0.4014","0.1246"
"1.3000","0.4057","16.3230","0.4057","0.4077","0.1267"
"1.3200","0.4122","16.6022","0.4122","0.4142","0.1289"
"1.3400","0.4187","16.9140","0.4187","0.4207","0.1313"
"1.3600","0.4260","17.2348","0.4260","0.4281","0.1338"
"1.3800","0.4346","17.5878","0.4346","0.4367","0.1366"
"1.4000","0.4412","17.9629","0.4412","0.4433","0.1395"
"1.4200","0.4467","18.2967","0.4467","0.4489","0.1421"
"1.4400","0.4525","18.5869","0.4525","0.4547","0.1443"
"1.4600","0.4589","18.8625","0.4589","0.4611","0.1465"
"1.4800","0.4658","19.1526","0.4658","0.4680","0.1487"
"1.5000","0.4728","19.4787","0.4728","0.4751","0.1512"
"1.5200","0.4809","19.8466","0.4809","0.4832","0.1541"
"1.5400","0.4891","20.2341","0.4891","0.4915","0.1571"
"1.5600","0.4949","20.6398","0.4949","0.4972","0.1603"
"1.5800","0.5001","20.9719","0.5001","0.5025","0.1628"
"1.6000","0.5056","21.2513","0.5056","0.5080","0.1650"
"1.6200","0.5118","21.5356","0.5118","0.5143","0.1672"
"1.6400","0.5185","21.8416","0.5185","0.5210","0.1696"
"1.6600","0.5251","22.1863","0.5251","0.5277","0.1723"
"1.6800","0.5329","22.5600","0.5329","0.5355","0.1752"
"1.7000","0.5410","22.9617","0.5410","0.5436","0.1783"
