Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","-0.0099","0.0000","0.0000","-0.0001"
"0.0200","0.0004","0.0015","0.0004","0.0004","0.0000"
"0.0400","0.0015","0.0399","0.0015","0.0015","0.0003"
"0.0600","0.0059","0.1350","0.0059","0.0059","0.0010"
"0.0800","0.0139","0.4027","0.0139","0.0139","0.0031"
"0.1000","0.0202","0.6835","0.0202","0.0201","0.0053"
"0.1200","0.0262","0.8705","0.0262","0.0261","0.0068"
"0.1400","0.0328","1.1074","0.0328","0.0327","0.0086"
"0.1600","0.0401","1.3788","0.0401","0.0399","0.0107"
"0.1800","0.0470","1.7074","0.0470","0.0468","0.0133"
"0.2000","0.0537","2.3160","0.0537","0.0535","0.0180"
"0.2200","0.0617","3.2705","0.0617","0.0614","0.0254"
"0.2400","0.0685","4.4676","0.0685","0.0682","0.0347"
"0.2600","0.0738","5.6240","0.0738","0.0735","0.0437"
"0.2800","0.0795","6.6533","0.0795","0.0791","0.0517"
"0.3000","0.0854","7.6681","0.0854","0.0850","0.0595"
"0.3200","0.0918","8.7520","0.0918","0.0915","0.0680"
"0.3400","0.0982","9.9035","0.0982","0.0977","0.0769"
"0.3600","0.1046","11.0638","0.1046","0.1042","0.0859"
"0.3800","0.1123","12.2612","0.1123","0.1119","0.0952"
"0.4000","0.1197","13.5550","0.1197","0.1191","0.1052"
"0.4200","0.1254","14.7572","0.1254","0.1249","0.1146"
"0.4400","0.1311","15.7421","0.1311","0.1305","0.1222"
"0.4600","0.1373","16.6458","0.1373","0.1367","0.1292"
"0.4800","0.1445","17.6235","0.1445","0.1439","0.1368"
"0.5000","0.1516","18.7303","0.1516","0.1509","0.1454"
"0.5200","0.1587","19.8498","0.1587","0.1580","0.1541"
"0.5400","0.1670","21.0157","0.1670","0.1663","0.1632"
"0.5600","0.1733","22.2323","0.1733","0.1725","0.1726"
"0.5800","0.1784","23.2280","0.1784","0.1776","0.1804"
"0.6000","0.1840","24.0385","0.1840","0.1832","0.1866"
"0.6200","0.1904","24.8509","0.1904","0.1896","0.1930"
"0.6400","0.1979","25.7623","0.1979","0.1971","0.2000"
"0.6600","0.2054","26.7469","0.2054","0.2045","0.2077"
"0.6800","0.2134","27.6866","0.2134","0.2125","0.2150"
"0.7000","0.2215","28.5989","0.2215","0.2205","0.2221"
"0.7200","0.2271","29.3508","0.2271","0.2262","0.2279"
"0.7400","0.2325","29.8115","0.2325","0.2315","0.2315"
"0.7600","0.2383","30.2237","0.2383","0.2373","0.2347"
"0.7800","0.2447","30.7138","0.2447","0.2437","0.2385"
"0.8000","0.2514","31.3887","0.2514","0.2504","0.2437"
"0.8200","0.2580","32.2625","0.2580","0.2569","0.2505"
"0.8400","0.2653","33.2643","0.2653","0.2642","0.2583"
"0.8600","0.2734","34.3512","0.2734","0.2722","0.2667"
"0.8800","0.2795","35.4029","0.2795","0.2783","0.2749"
"0.9000","0.2853","36.2603","0.2853","0.2841","0.2815"
"0.9200","0.2915","37.0620","0.2915","0.2902","0.2878"
"0.9400","0.2982","37.9111","0.2982","0.2970","0.2944"
"0.9600","0.3052","38.8058","0.3052","0.3039","0.3013"
"0.9800","0.3121","39.7413","0.3121","0.3108","0.3086"
