Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0702","0.0000","0.0000","0.0005"
"0.0200","0.0004","0.0736","0.0004","0.0004","0.0006"
"0.0400","0.0010","0.0964","0.0010","0.0010","0.0007"
"0.0600","0.0023","0.1360","0.0023","0.0023","0.0011"
"0.0800","0.0042","0.1519","0.0042","0.0042","0.0012"
"0.1000","0.0075","0.1542","0.0075","0.0075","0.0012"
"0.1200","0.0136","0.1446","0.0136","0.0136","0.0011"
"0.1400","0.0216","0.1258","0.0216","0.0215","0.0010"
"0.1600","0.0304","0.1304","0.0304","0.0303","0.0010"
"0.1800","0.0377","0.1375","0.0377","0.0376","0.0011"
"0.2000","0.0429","0.1766","0.0429","0.0428","0.0014"
"0.2200","0.0478","0.2614","0.0478","0.0477","0.0020"
"0.2400","0.0532","0.3547","0.0532","0.0530","0.0028"
"0.2600","0.0594","0.4300","0.0594","0.0592","0.0033"
"0.2800","0.0659","0.4881","0.0659","0.0657","0.0038"
"0.3000","0.0727","0.5414","0.0727","0.0725","0.0042"
"0.3200","0.0810","0.5878","0.0810","0.0809","0.0046"
"0.3400","0.0889","0.7333","0.0889","0.0887","0.0057"
"0.3600","0.0946","1.1722","0.0946","0.0943","0.0091"
"0.3800","0.1002","1.7471","0.1002","0.0999","0.0136"
"0.4000","0.1061","2.3365","0.1061","0.1059","0.0181"
"0.4200","0.1126","2.9318","0.1126","0.1124","0.0228"
"0.4400","0.1192","3.5945","0.1192","0.1190","0.0279"
"0.4600","0.1261","4.2567","0.1261","0.1258","0.0331"
"0.4800","0.1340","4.8888","0.1340","0.1337","0.0380"
"0.5000","0.1408","5.3844","0.1408","0.1405","0.0418"
"0.5200","0.1462","5.6882","0.1462","0.1458","0.0442"
"0.5400","0.1519","5.9386","0.1519","0.1515","0.0461"
"0.5600","0.1580","6.2447","0.1580","0.1577","0.0485"
"0.5800","0.1651","6.6560","0.1651","0.1648","0.0517"
"0.6000","0.1723","7.1512","0.1723","0.1719","0.0555"
"0.6200","0.1797","7.7462","0.1797","0.1793","0.0601"
"0.6400","0.1881","8.4354","0.1881","0.1877","0.0655"
"0.6600","0.1947","9.1348","0.1947","0.1943","0.0709"
"0.6800","0.2003","9.6981","0.2003","0.1998","0.0753"
"0.7000","0.2060","10.2864","0.2060","0.2056","0.0799"
"0.7200","0.2125","11.0000","0.2125","0.2120","0.0854"
"0.7400","0.2192","11.8873","0.2192","0.2187","0.0923"
