Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0161","0.0000","0.0000","0.0001"
"0.0200","0.0003","0.0135","0.0003","0.0003","0.0001"
"0.0400","0.0008","0.0065","0.0008","0.0009","0.0001"
"0.0600","0.0020","0.0193","0.0020","0.0022","0.0002"
"0.0800","0.0038","0.0290","0.0038","0.0042","0.0002"
"0.1000","0.0070","0.0292","0.0070","0.0078","0.0002"
"0.1200","0.0134","0.0415","0.0134","0.0150","0.0003"
"0.1400","0.0201","0.0402","0.0201","0.0224","0.0003"
"0.1600","0.0260","0.0361","0.0260","0.0290","0.0003"
"0.1800","0.0323","0.0787","0.0323","0.0361","0.0006"
"0.2000","0.0389","0.0923","0.0389","0.0434","0.0007"
"0.2200","0.0462","0.1179","0.0462","0.0516","0.0009"
"0.2400","0.0545","0.1416","0.0545","0.0609","0.0011"
"0.2600","0.0607","0.1394","0.0607","0.0678","0.0011"
"0.2800","0.0661","0.1508","0.0661","0.0739","0.0012"
"0.3000","0.0720","0.1702","0.0720","0.0804","0.0013"
"0.3200","0.0785","0.1790","0.0785","0.0877","0.0014"
"0.3400","0.0854","0.1917","0.0854","0.0955","0.0015"
"0.3600","0.0922","0.2107","0.0922","0.1030","0.0016"
"0.3800","0.1000","0.2428","0.1000","0.1117","0.0019"
"0.4000","0.1084","0.2777","0.1084","0.1211","0.0022"
"0.4200","0.1146","0.2602","0.1146","0.1280","0.0020"
"0.4400","0.1201","0.2807","0.1201","0.1342","0.0022"
"0.4600","0.1257","0.3169","0.1257","0.1405","0.0025"
"0.4800","0.1323","0.3123","0.1323","0.1478","0.0024"
"0.5000","0.1390","0.3317","0.1390","0.1553","0.0026"
"0.5200","0.1459","0.3601","0.1459","0.1630","0.0028"
"0.5400","0.1539","0.3742","0.1539","0.1720","0.0029"
"0.5600","0.1617","0.3892","0.1617","0.1807","0.0030"
