Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0018","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0213","0.0004","0.0004","0.0002"
"0.0400","0.0017","0.0580","0.0017","0.0019","0.0004"
"0.0600","0.0062","0.1800","0.0062","0.0069","0.0014"
"0.0800","0.0136","0.3989","0.0136","0.0152","0.0031"
"0.1000","0.0211","0.4379","0.0211","0.0235","0.0034"
"0.1200","0.0280","0.4328","0.0280","0.0313","0.0034"
"0.1400","0.0357","0.4305","0.0357","0.0399","0.0033"
"0.1600","0.0433","0.4770","0.0433","0.0484","0.0037"
"0.1800","0.0486","0.5511","0.0486","0.0543","0.0043"
"0.2000","0.0539","0.6143","0.0539","0.0603","0.0048"
"0.2200","0.0597","0.6609","0.0597","0.0667","0.0051"
"0.2400","0.0662","0.6772","0.0662","0.0740","0.0053"
"0.2600","0.0733","0.6549","0.0733","0.0819","0.0051"
"0.2800","0.0801","0.6299","0.0801","0.0895","0.0049"
"0.3000","0.0876","0.6270","0.0876","0.0979","0.0049"
"0.3200","0.0955","0.6589","0.0955","0.1067","0.0051"
"0.3400","0.1011","0.6820","0.1011","0.1129","0.0053"
"0.3600","0.1064","0.7382","0.1064","0.1189","0.0057"
"0.3800","0.1122","0.8142","0.1122","0.1253","0.0063"
"0.4000","0.1186","0.8829","0.1186","0.1326","0.0069"
"0.4200","0.1253","0.8819","0.1253","0.1401","0.0068"
"0.4400","0.1318","0.8898","0.1318","0.1473","0.0069"
"0.4600","0.1396","0.8665","0.1396","0.1560","0.0067"
"0.4800","0.1481","0.8405","0.1481","0.1654","0.0065"
"0.5000","0.1542","0.8139","0.1542","0.1722","0.0063"
"0.5200","0.1598","0.8443","0.1598","0.1786","0.0066"
"0.5400","0.1658","0.9332","0.1658","0.1852","0.0072"
"0.5600","0.1724","1.0105","0.1724","0.1927","0.0078"
"0.5800","0.1791","1.0390","0.1791","0.2001","0.0081"
"0.6000","0.1857","1.0572","0.1857","0.2074","0.0082"
"0.6200","0.1934","1.0794","0.1934","0.2161","0.0084"
"0.6400","0.2010","1.0484","0.2010","0.2246","0.0081"
"0.6600","0.2065","1.0237","0.2065","0.2307","0.0079"
"0.6800","0.2119","1.0369","0.2119","0.2368","0.0081"
"0.7000","0.2177","1.0546","0.2177","0.2433","0.0082"
"0.7200","0.2243","1.0692","0.2243","0.2507","0.0083"
"0.7400","0.2312","1.1113","0.2312","0.2583","0.0086"
"0.7600","0.2384","1.1631","0.2384","0.2663","0.0090"
"0.7800","0.2469","1.1970","0.2469","0.2758","0.0093"
"0.8000","0.2542","1.1752","0.2542","0.2840","0.0091"
"0.8200","0.2596","1.1458","0.2596","0.2901","0.0089"
"0.8400","0.2652","1.1279","0.2652","0.2963","0.0088"
"0.8600","0.2714","1.1332","0.2714","0.3032","0.0088"
"0.8800","0.2784","1.1587","0.2784","0.3111","0.0090"
"0.9000","0.2854","1.1903","0.2854","0.3189","0.0092"
"0.9200","0.2927","1.2156","0.2927","0.3270","0.0094"
"0.9400","0.3011","1.2294","0.3011","0.3365","0.0095"
"0.9600","0.3077","1.2329","0.3077","0.3438","0.0096"
"0.9800","0.3133","1.2663","0.3133","0.3500","0.0098"
"1.0000","0.3189","1.4146","0.3189","0.3563","0.0110"
"1.0200","0.3250","1.6481","0.3250","0.3631","0.0128"
"1.0400","0.3315","1.9648","0.3315","0.3704","0.0153"
"1.0600","0.3379","2.3360","0.3379","0.3776","0.0181"
"1.0800","0.3451","2.7613","0.3451","0.3856","0.0214"
"1.1000","0.3536","3.3031","0.3536","0.3951","0.0256"
"1.1200","0.3603","4.0061","0.3603","0.4026","0.0311"
