Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","-0.0053","0.0000","0.0000","0.0000"
"0.0200","0.0004","0.0066","0.0004","0.0004","0.0001"
"0.0400","0.0015","0.0225","0.0015","0.0016","0.0002"
"0.0600","0.0054","0.0241","0.0054","0.0060","0.0002"
"0.0800","0.0134","0.0324","0.0134","0.0149","0.0003"
"0.1000","0.0217","0.0140","0.0217","0.0242","0.0001"
"0.1200","0.0277","-0.0157","0.0277","0.0308","-0.0001"
"0.1400","0.0335","-0.0155","0.0335","0.0372","-0.0001"
"0.1600","0.0396","-0.0039","0.0396","0.0440","0.0000"
"0.1800","0.0463","0.0054","0.0463","0.0515","0.0000"
"0.2000","0.0530","-0.0025","0.0530","0.0589","0.0000"
"0.2200","0.0595","-0.0077","0.0595","0.0661","-0.0001"
"0.2400","0.0669","0.0017","0.0669","0.0744","0.0000"
"0.2600","0.0749","0.0139","0.0749","0.0833","0.0001"
"0.2800","0.0808","-0.0113","0.0808","0.0898","-0.0001"
"0.3000","0.0862","-0.0040","0.0862","0.0959","0.0000"
"0.3200","0.0918","0.0039","0.0918","0.1021","0.0000"
"0.3400","0.0981","0.0075","0.0981","0.1091","0.0001"
"0.3600","0.1048","0.0142","0.1048","0.1165","0.0001"
"0.3800","0.1113","0.0208","0.1113","0.1238","0.0002"
"0.4000","0.1189","0.0278","0.1189","0.1323","0.0002"
"0.4200","0.1271","0.0632","0.1271","0.1414","0.0005"
"0.4400","0.1331","0.0537","0.1331","0.1480","0.0004"
"0.4600","0.1386","0.1034","0.1386","0.1541","0.0008"
"0.4800","0.1442","0.1759","0.1442","0.1604","0.0014"
"0.5000","0.1507","0.2153","0.1507","0.1676","0.0017"
"0.5200","0.1576","0.2774","0.1576","0.1753","0.0022"
"0.5400","0.1645","0.3177","0.1645","0.1829","0.0025"
"0.5600","0.1725","0.3817","0.1725","0.1918","0.0030"
"0.5800","0.1803","0.3939","0.1803","0.2006","0.0031"
"0.6000","0.1858","0.3968","0.1858","0.2066","0.0031"
"0.6200","0.1912","0.4206","0.1912","0.2126","0.0033"
"0.6400","0.1970","0.4724","0.1970","0.2191","0.0037"
"0.6600","0.2039","0.5880","0.2039","0.2267","0.0046"
"0.6800","0.2110","0.8187","0.2110","0.2346","0.0064"
"0.7000","0.2179","1.1344","0.2179","0.2423","0.0088"
