Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0401","0.0000","0.0000","0.0003"
"0.0200","0.0004","0.0376","0.0004","0.0004","0.0003"
"0.0400","0.0013","0.0578","0.0013","0.0014","0.0004"
"0.0600","0.0048","0.1227","0.0048","0.0054","0.0010"
"0.0800","0.0133","0.2397","0.0133","0.0148","0.0019"
"0.1000","0.0215","0.2659","0.0215","0.0239","0.0021"
"0.1200","0.0275","0.3005","0.0275","0.0306","0.0023"
"0.1400","0.0331","0.3360","0.0331","0.0369","0.0026"
"0.1600","0.0395","0.3576","0.0395","0.0439","0.0028"
"0.1800","0.0462","0.3432","0.0462","0.0514","0.0027"
"0.2000","0.0524","0.3467","0.0524","0.0583","0.0027"
"0.2200","0.0591","0.3859","0.0591","0.0657","0.0030"
"0.2400","0.0668","0.4586","0.0668","0.0742","0.0036"
"0.2600","0.0728","0.5260","0.0728","0.0810","0.0041"
"0.2800","0.0780","0.5897","0.0780","0.0868","0.0046"
"0.3000","0.0839","0.6418","0.0839","0.0933","0.0050"
"0.3200","0.0906","0.6914","0.0906","0.1007","0.0054"
"0.3400","0.0978","0.7060","0.0978","0.1087","0.0055"
"0.3600","0.1047","0.7105","0.1047","0.1164","0.0055"
"0.3800","0.1122","0.7669","0.1122","0.1248","0.0060"
"0.4000","0.1205","0.8447","0.1205","0.1340","0.0066"
"0.4200","0.1264","0.9195","0.1264","0.1406","0.0071"
"0.4400","0.1315","1.0268","0.1315","0.1463","0.0080"
"0.4600","0.1370","1.1410","0.1370","0.1524","0.0089"
"0.4800","0.1433","1.3053","0.1433","0.1594","0.0101"
"0.5000","0.1504","1.5808","0.1504","0.1672","0.0123"
"0.5200","0.1574","1.9303","0.1574","0.1751","0.0150"
"0.5400","0.1654","2.3501","0.1654","0.1840","0.0182"
"0.5600","0.1739","2.8310","0.1739","0.1934","0.0220"
"0.5800","0.1798","3.2765","0.1798","0.2000","0.0254"
"0.6000","0.1854","3.6870","0.1854","0.2061","0.0286"
"0.6200","0.1911","4.0625","0.1911","0.2125","0.0315"
"0.6400","0.1974","4.4317","0.1974","0.2195","0.0344"
"0.6600","0.2039","4.8160","0.2039","0.2267","0.0374"
"0.6800","0.2103","5.2096","0.2103","0.2338","0.0404"
"0.7000","0.2177","5.6338","0.2177","0.2421","0.0437"
"0.7200","0.2255","6.1612","0.2255","0.2508","0.0478"
"0.7400","0.2314","6.7198","0.2314","0.2573","0.0522"
"0.7600","0.2371","7.2000","0.2371","0.2637","0.0559"
"0.7800","0.2432","7.6625","0.2432","0.2704","0.0595"
"0.8000","0.2501","8.1645","0.2501","0.2782","0.0634"
"0.8200","0.2571","8.8019","0.2571","0.2859","0.0683"
"0.8400","0.2639","9.5118","0.2639","0.2935","0.0739"
"0.8600","0.2721","10.2758","0.2721","0.3026","0.0798"
"0.8800","0.2798","11.1183","0.2798","0.3112","0.0863"
"0.9000","0.2856","11.9012","0.2856","0.3176","0.0924"
"0.9200","0.2913","12.5642","0.2913","0.3240","0.0976"
"0.9400","0.2975","13.2081","0.2975","0.3308","0.1026"
"0.9600","0.3041","13.8824","0.3041","0.3382","0.1078"
"0.9800","0.3108","14.6299","0.3108","0.3456","0.1136"
"1.0000","0.3180","15.4439","0.3180","0.3536","0.1199"
"1.0200","0.3266","16.3604","0.3266","0.3632","0.1270"
"1.0400","0.3334","17.3457","0.3334","0.3708","0.1347"
"1.0600","0.3388","18.1621","0.3388","0.3767","0.1410"
"1.0800","0.3442","18.8139","0.3442","0.3828","0.1461"
"1.1000","0.3502","19.4442","0.3502","0.3895","0.1510"
"1.1200","0.3570","20.1393","0.3570","0.3970","0.1564"
"1.1400","0.3640","20.9311","0.3640","0.4048","0.1625"
"1.1600","0.3713","21.7780","0.3713","0.4129","0.1691"
"1.1800","0.3797","22.6816","0.3797","0.4222","0.1761"
"1.2000","0.3860","23.6149","0.3860","0.4293","0.1834"
"1.2200","0.3913","24.3574","0.3913","0.4352","0.1891"
"1.2400","0.3971","24.9926","0.3971","0.4416","0.1941"
"1.2600","0.4037","25.6657","0.4037","0.4489","0.1993"
"1.2800","0.4107","26.4255","0.4107","0.4568","0.2052"
"1.3000","0.4177","27.2594","0.4177","0.4645","0.2117"
"1.3200","0.4254","28.1313","0.4254","0.4731","0.2184"
"1.3400","0.4333","29.0905","0.4333","0.4818","0.2259"
"1.3600","0.4389","29.9895","0.4389","0.4881","0.2328"
"1.3800","0.4444","30.7115","0.4444","0.4942","0.2385"
"1.4000","0.4501","31.3415","0.4501","0.5006","0.2433"
"1.4200","0.4566","32.0217","0.4566","0.5078","0.2486"
"1.4400","0.4637","32.7954","0.4637","0.5157","0.2546"
"1.4600","0.4707","33.6380","0.4707","0.5235","0.2612"
"1.4800","0.4788","34.4865","0.4788","0.5325","0.2678"
"1.5000","0.4870","35.4084","0.4870","0.5416","0.2749"
"1.5200","0.4928","36.2349","0.4928","0.5481","0.2813"
"1.5400","0.4985","36.8430","0.4985","0.5543","0.2861"
"1.5600","0.5044","37.3864","0.5044","0.5609","0.2903"
"1.5800","0.5108","37.9772","0.5108","0.5680","0.2949"
"1.6000","0.5173","38.6217","0.5173","0.5753","0.2999"
"1.6200","0.5241","39.2936","0.5241","0.5828","0.3051"
"1.6400","0.5319","40.0017","0.5319","0.5916","0.3106"
"1.6600","0.5394","40.7801","0.5394","0.5999","0.3166"
"1.6800","0.5450","41.4478","0.5450","0.6061","0.3218"
"1.7000","0.5504","41.9218","0.5504","0.6121","0.3255"
"1.7200","0.5563","42.3566","0.5563","0.6187","0.3289"
"1.7400","0.5631","42.8923","0.5631","0.6262","0.3330"
"1.7600","0.5702","43.5636","0.5702","0.6342","0.3382"
"1.7800","0.5775","44.2842","0.5775","0.6423","0.3438"
"1.8000","0.5860","45.0640","0.5860","0.6517","0.3499"
"1.8200","0.5930","45.8789","0.5930","0.6595","0.3562"
"1.8400","0.5983","46.5220","0.5983","0.6653","0.3612"
"1.8600","0.6037","46.9990","0.6037","0.6714","0.3649"
"1.8800","0.6099","47.5000","0.6099","0.6783","0.3688"
"1.9000","0.6169","48.1553","0.6169","0.6861","0.3739"
"1.9200","0.6239","48.9106","0.6239","0.6938","0.3798"
"1.9400","0.6313","49.6768","0.6313","0.7021","0.3857"
"1.9600","0.6399","50.5271","0.6399","0.7117","0.3923"
"1.9800","0.6468","51.4437","0.6468","0.7193","0.3994"
"2.0000","0.6526","52.1766","0.6526","0.7257","0.4051"
"2.0200","0.6585","52.8022","0.6585","0.7323","0.4100"
"2.0400","0.6651","53.4407","0.6651","0.7397","0.4149"
"2.0600","0.6719","54.1798","0.6719","0.7472","0.4207"
"2.0800","0.6783","54.9604","0.6783","0.7544","0.4267"
"2.1000","0.6854","55.7229","0.6854","0.7623","0.4327"
"2.1200","0.6931","56.5761","0.6931","0.7708","0.4393"
"2.1400","0.6987","57.4070","0.6987","0.7770","0.4457"
"2.1600","0.7037","58.0174","0.7037","0.7826","0.4505"
"2.1800","0.7093","58.5476","0.7093","0.7888","0.4546"
"2.2000","0.7155","59.1666","0.7155","0.7957","0.4594"
"2.2200","0.7226","59.9481","0.7226","0.8036","0.4655"
"2.2400","0.7297","60.8547","0.7297","0.8115","0.4725"
"2.2600","0.7377","61.7874","0.7377","0.8204","0.4797"
"2.2800","0.7465","62.8561","0.7465","0.8302","0.4880"
"2.3000","0.7527","63.8895","0.7527","0.8371","0.4961"
"2.3200","0.7582","64.6286","0.7582","0.8432","0.5018"
"2.3400","0.7639","65.2269","0.7639","0.8496","0.5064"
"2.3600","0.7703","65.8846","0.7703","0.8566","0.5116"
"2.3800","0.7770","66.6560","0.7770","0.8641","0.5175"
"2.4000","0.7840","67.5279","0.7840","0.8719","0.5243"
"2.4200","0.7922","68.4562","0.7922","0.8811","0.5315"
"2.4400","0.8003","69.5311","0.8003","0.8900","0.5399"
"2.4600","0.8059","70.4940","0.8059","0.8963","0.5473"
"2.4800","0.8114","71.1661","0.8114","0.9023","0.5526"
"2.5000","0.8172","71.7513","0.8172","0.9088","0.5571"
"2.5200","0.8238","72.4535","0.8238","0.9162","0.5626"
"2.5400","0.8304","73.2970","0.8304","0.9235","0.5691"
"2.5600","0.8372","74.1747","0.8372","0.9311","0.5759"
"2.5800","0.8451","75.1142","0.8451","0.9399","0.5832"
"2.6000","0.8523","76.1562","0.8523","0.9479","0.5913"
"2.6200","0.8578","77.0486","0.8578","0.9539","0.5982"
"2.6400","0.8636","77.7305","0.8636","0.9604","0.6035"
"2.6600","0.8699","78.4077","0.8699","0.9674","0.6088"
"2.6800","0.8771","79.2252","0.8771","0.9754","0.6151"
"2.6970","0.8832","80.0495","0.8832","0.9822","0.6215"

