Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0171","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0232","0.0004","0.0004","0.0002"
"0.0400","0.0015","0.0515","0.0015","0.0017","0.0004"
"0.0600","0.0057","0.1708","0.0057","0.0063","0.0013"
"0.0800","0.0132","0.4871","0.0132","0.0147","0.0038"
"0.1000","0.0190","0.9316","0.0190","0.0211","0.0072"
"0.1200","0.0246","1.2036","0.0246","0.0274","0.0093"
"0.1400","0.0311","1.3397","0.0311","0.0346","0.0104"
"0.1600","0.0388","1.3887","0.0388","0.0432","0.0108"
"0.1800","0.0462","1.4384","0.0462","0.0514","0.0112"
"0.2000","0.0537","1.5236","0.0537","0.0597","0.0118"
"0.2200","0.0616","1.6203","0.0616","0.0685","0.0126"
"0.2400","0.0676","1.6770","0.0676","0.0752","0.0130"
"0.2600","0.0729","1.7329","0.0729","0.0811","0.0135"
"0.2800","0.0783","1.7458","0.0783","0.0871","0.0136"
"0.3000","0.0843","1.7253","0.0843","0.0938","0.0134"
"0.3200","0.0910","1.7049","0.0910","0.1012","0.0132"
"0.3400","0.0976","1.6916","0.0976","0.1085","0.0131"
"0.3600","0.1049","1.7665","0.1049","0.1166","0.0137"
"0.3800","0.1133","1.8569","0.1133","0.1260","0.0144"
"0.4000","0.1199","1.9364","0.1199","0.1333","0.0150"
"0.4200","0.1255","1.9923","0.1255","0.1396","0.0155"
"0.4400","0.1312","2.0391","0.1312","0.1459","0.0158"
"0.4600","0.1376","2.0281","0.1376","0.1531","0.0157"
"0.4800","0.1445","2.0260","0.1445","0.1607","0.0157"
"0.5000","0.1513","2.0175","0.1513","0.1683","0.0157"
"0.5200","0.1590","2.0277","0.1590","0.1768","0.0157"
"0.5400","0.1672","2.0545","0.1672","0.1860","0.0160"
"0.5600","0.1731","2.0753","0.1731","0.1925","0.0161"
"0.5800","0.1785","2.1306","0.1785","0.1985","0.0165"
"0.6000","0.1843","2.1929","0.1843","0.2050","0.0170"
"0.6200","0.1908","2.2246","0.1908","0.2122","0.0173"
"0.6400","0.1977","2.2120","0.1977","0.2198","0.0172"
"0.6600","0.2046","2.1912","0.2046","0.2275","0.0170"
"0.6800","0.2128","2.1708","0.2128","0.2367","0.0169"
"0.7000","0.2209","2.1650","0.2209","0.2457","0.0168"
"0.7200","0.2266","2.1912","0.2266","0.2520","0.0170"
"0.7400","0.2323","2.2826","0.2323","0.2584","0.0177"
"0.7600","0.2384","2.3936","0.2384","0.2652","0.0186"
"0.7800","0.2453","2.4910","0.2453","0.2728","0.0193"
"0.8000","0.2520","2.5473","0.2520","0.2803","0.0198"
"0.8200","0.2585","2.5890","0.2585","0.2875","0.0201"
"0.8400","0.2662","2.6207","0.2662","0.2960","0.0203"
"0.8600","0.2733","2.6191","0.2733","0.3039","0.0203"
"0.8800","0.2788","2.6210","0.2788","0.3101","0.0204"
"0.9000","0.2844","2.6580","0.2844","0.3163","0.0206"
"0.9200","0.2905","2.7704","0.2905","0.3231","0.0215"
"0.9400","0.2975","3.0095","0.2975","0.3308","0.0234"
"0.9600","0.3045","3.4022","0.3045","0.3386","0.0264"
"0.9800","0.3117","3.8675","0.3117","0.3467","0.0300"
"1.0000","0.3203","4.3777","0.3203","0.3562","0.0340"
"1.0200","0.3271","4.9066","0.3271","0.3637","0.0381"
"1.0400","0.3326","5.3898","0.3326","0.3699","0.0418"
"1.0600","0.3384","5.8066","0.3384","0.3763","0.0451"
"1.0800","0.3447","6.2246","0.3447","0.3834","0.0483"
"1.1000","0.3516","6.6814","0.3516","0.3910","0.0519"
"1.1200","0.3584","7.1797","0.3584","0.3986","0.0557"
"1.1400","0.3657","7.7304","0.3657","0.4067","0.0600"
"1.1600","0.3739","8.3521","0.3739","0.4158","0.0648"
"1.1800","0.3799","8.9755","0.3799","0.4225","0.0697"
"1.2000","0.3854","9.5294","0.3854","0.4286","0.0740"
"1.2200","0.3912","10.0214","0.3912","0.4351","0.0778"
"1.2400","0.3976","10.5007","0.3976","0.4421","0.0815"
"1.2600","0.4043","11.0043","0.4043","0.4496","0.0854"
"1.2800","0.4111","11.5396","0.4111","0.4571","0.0896"
"1.3000","0.4187","12.1022","0.4187","0.4657","0.0940"
"1.3200","0.4272","12.7605","0.4272","0.4751","0.0991"
"1.3400","0.4335","13.4561","0.4335","0.4821","0.1045"
"1.3600","0.4391","14.0576","0.4391","0.4883","0.1091"
"1.3800","0.4450","14.5998","0.4450","0.4949","0.1134"
"1.4000","0.4519","15.1265","0.4519","0.5025","0.1174"
"1.4200","0.4588","15.7118","0.4588","0.5102","0.1220"
"1.4400","0.4654","16.3356","0.4654","0.5175","0.1268"
"1.4600","0.4730","16.9979","0.4730","0.5260","0.1320"
"1.4800","0.4803","17.7307","0.4803","0.5341","0.1377"
"1.5000","0.4858","18.4082","0.4858","0.5402","0.1429"
"1.5200","0.4914","18.9759","0.4914","0.5465","0.1473"
