Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.1544","0.0000","0.0000","0.0012"
"0.0200","0.0004","0.1521","0.0004","0.0003","0.0012"
"0.0400","0.0018","0.2319","0.0018","0.0015","0.0018"
"0.0600","0.0065","0.4997","0.0065","0.0054","0.0039"
"0.0800","0.0137","1.0379","0.0137","0.0114","0.0081"
"0.1000","0.0209","1.5133","0.0209","0.0175","0.0117"
"0.1200","0.0282","1.7246","0.0282","0.0235","0.0134"
"0.1400","0.0355","1.8752","0.0355","0.0297","0.0146"
"0.1600","0.0436","2.0979","0.0436","0.0364","0.0163"
"0.1800","0.0506","2.3742","0.0506","0.0423","0.0184"
"0.2000","0.0558","2.7226","0.0558","0.0466","0.0211"
"0.2200","0.0609","3.0735","0.0609","0.0509","0.0239"
"0.2400","0.0664","3.4287","0.0664","0.0555","0.0266"
"0.2600","0.0727","3.7982","0.0727","0.0608","0.0295"
"0.2800","0.0794","4.2095","0.0794","0.0664","0.0327"
"0.3000","0.0863","4.6608","0.0863","0.0721","0.0362"
"0.3200","0.0942","5.1676","0.0942","0.0787","0.0401"
"0.3400","0.1018","5.7082","0.1018","0.0851","0.0443"
"0.3600","0.1073","6.2011","0.1073","0.0897","0.0481"
"0.3800","0.1127","6.6473","0.1127","0.0942","0.0516"
"0.4000","0.1184","7.0521","0.1184","0.0990","0.0548"
"0.4200","0.1249","7.5118","0.1249","0.1044","0.0583"
"0.4400","0.1319","7.9773","0.1319","0.1102","0.0619"
"0.4600","0.1388","8.4457","0.1388","0.1161","0.0656"
"0.4800","0.1469","8.8951","0.1469","0.1228","0.0691"
"0.5000","0.1548","9.2987","0.1548","0.1294","0.0722"
"0.5200","0.1604","9.5123","0.1604","0.1341","0.0739"
"0.5400","0.1658","9.5186","0.1658","0.1386","0.0739"
"0.5600","0.1719","9.3984","0.1719","0.1437","0.0730"
"0.5800","0.1787","9.3627","0.1787","0.1494","0.0727"
"0.6000","0.1856","9.6827","0.1856","0.1551","0.0752"
"0.6200","0.1927","10.2352","0.1927","0.1611","0.0795"
"0.6400","0.2012","10.9250","0.2012","0.1682","0.0848"
"0.6600","0.2084","11.6980","0.2084","0.1742","0.0908"
"0.6800","0.2138","12.3661","0.2138","0.1788","0.0960"
"0.7000","0.2194","12.9087","0.2194","0.1834","0.1002"
"0.7200","0.2254","13.4758","0.2254","0.1884","0.1046"
"0.7400","0.2320","14.1745","0.2320","0.1939","0.1101"
"0.7600","0.2387","14.9606","0.2387","0.1996","0.1162"
"0.7800","0.2455","15.7472","0.2455","0.2052","0.1223"
"0.8000","0.2536","16.5961","0.2536","0.2120","0.1289"
"0.8200","0.2607","17.5126","0.2607","0.2179","0.1360"
"0.8400","0.2663","18.3196","0.2663","0.2226","0.1422"
"0.8600","0.2721","18.9871","0.2721","0.2275","0.1474"
"0.8800","0.2785","19.6099","0.2785","0.2328","0.1523"
"0.9000","0.2856","20.3316","0.2856","0.2388","0.1579"
"0.9200","0.2925","21.0870","0.2925","0.2445","0.1637"
"0.9400","0.2998","21.8596","0.2998","0.2506","0.1697"
"0.9600","0.3081","22.6800","0.3081","0.2576","0.1761"
"0.9800","0.3142","23.5412","0.3142","0.2627","0.1828"
"1.0000","0.3195","24.2515","0.3195","0.2671","0.1883"
"1.0200","0.3251","24.8705","0.3251","0.2718","0.1931"
"1.0400","0.3316","25.4581","0.3316","0.2772","0.1977"
"1.0600","0.3385","26.1141","0.3385","0.2830","0.2028"
"1.0800","0.3452","26.7810","0.3452","0.2886","0.2079"
"1.1000","0.3528","27.5175","0.3528","0.2949","0.2137"
"1.1200","0.3611","28.3406","0.3611","0.3019","0.2200"
"1.1400","0.3673","29.1230","0.3673","0.3070","0.2261"
"1.1600","0.3729","29.7913","0.3729","0.3118","0.2313"
"1.1800","0.3789","30.3823","0.3789","0.3167","0.2359"
"1.2000","0.3855","30.9556","0.3855","0.3223","0.2404"
"1.2200","0.3925","31.5884","0.3925","0.3281","0.2453"
"1.2400","0.3994","32.2696","0.3994","0.3339","0.2506"
"1.2600","0.4075","33.0186","0.4075","0.3406","0.2564"
"1.2800","0.4152","33.8467","0.4152","0.3471","0.2628"
"1.3000","0.4208","34.5573","0.4208","0.3518","0.2683"
"1.3200","0.4264","35.1378","0.4264","0.3564","0.2728"
"1.3400","0.4321","35.6799","0.4321","0.3612","0.2770"
"1.3600","0.4386","36.2590","0.4386","0.3667","0.2815"
"1.3800","0.4450","36.8732","0.4450","0.3720","0.2863"
"1.4000","0.4515","37.4841","0.4515","0.3774","0.2910"
"1.4200","0.4594","38.1185","0.4594","0.3840","0.2960"
"1.4400","0.4675","38.8706","0.4675","0.3908","0.3018"
"1.4600","0.4735","39.5837","0.4735","0.3958","0.3073"
"1.4800","0.4793","40.1669","0.4793","0.4007","0.3119"
"1.5000","0.4858","40.7075","0.4858","0.4061","0.3161"
"1.5200","0.4930","41.3006","0.4930","0.4121","0.3207"
"1.5400","0.4997","41.9449","0.4997","0.4177","0.3257"
"1.5600","0.5067","42.5764","0.5067","0.4236","0.3306"
"1.5800","0.5146","43.2484","0.5146","0.4302","0.3358"
"1.6000","0.5210","43.9223","0.5210","0.4355","0.3410"
"1.6200","0.5264","44.4708","0.5264","0.4400","0.3453"
"1.6400","0.5321","44.9133","0.5321","0.4448","0.3487"
"1.6600","0.5384","45.3548","0.5384","0.4501","0.3522"
"1.6800","0.5453","45.8648","0.5453","0.4559","0.3561"
"1.7000","0.5522","46.4283","0.5522","0.4616","0.3605"
"1.7200","0.5594","47.0352","0.5594","0.4676","0.3652"
"1.7400","0.5677","47.7150","0.5677","0.4746","0.3705"
"1.7600","0.5742","48.4192","0.5742","0.4801","0.3759"
"1.7800","0.5799","48.9786","0.5799","0.4848","0.3803"
"1.8000","0.5857","49.4505","0.5857","0.4896","0.3840"
"1.8200","0.5922","49.9177","0.5922","0.4951","0.3876"
"1.8400","0.5991","50.4816","0.5991","0.5008","0.3920"
"1.8600","0.6059","51.1043","0.6059","0.5065","0.3968"
"1.8800","0.6136","51.7508","0.6136","0.5130","0.4018"
"1.9000","0.6218","52.4915","0.6218","0.5198","0.4076"
"1.9200","0.6276","53.1991","0.6276","0.5247","0.4131"
"1.9400","0.6329","53.7313","0.6329","0.5291","0.4172"
"1.9600","0.6384","54.1804","0.6384","0.5337","0.4207"
"1.9800","0.6448","54.6418","0.6448","0.5390","0.4243"
"2.0000","0.6516","55.2130","0.6516","0.5448","0.4287"
"2.0200","0.6588","55.8747","0.6588","0.5507","0.4338"
"2.0400","0.6672","56.5968","0.6672","0.5578","0.4394"
"2.0600","0.6756","57.4501","0.6756","0.5648","0.4461"
"2.0800","0.6816","58.2225","0.6816","0.5698","0.4521"
"2.1000","0.6871","58.7804","0.6871","0.5744","0.4564"
"2.1200","0.6927","59.2139","0.6927","0.5791","0.4598"
"2.1400","0.6989","59.6750","0.6989","0.5843","0.4633"
"2.1600","0.7054","60.2057","0.7054","0.5897","0.4675"
"2.1800","0.7121","60.8107","0.7121","0.5953","0.4722"
"2.2000","0.7201","61.4762","0.7201","0.6020","0.4773"
"2.2200","0.7276","62.2473","0.7276","0.6082","0.4833"
"2.2400","0.7332","62.9200","0.7332","0.6130","0.4885"
"2.2600","0.7391","63.4375","0.7391","0.6179","0.4926"
"2.2800","0.7454","63.9244","0.7454","0.6231","0.4963"
"2.3000","0.7524","64.4959","0.7524","0.6290","0.5008"
"2.3200","0.7593","65.1398","0.7593","0.6348","0.5058"
"2.3400","0.7663","65.7649","0.7663","0.6406","0.5106"
"2.3600","0.7746","66.4431","0.7746","0.6476","0.5159"
"2.3800","0.7814","67.1591","0.7814","0.6532","0.5214"
"2.4000","0.7869","67.7284","0.7869","0.6578","0.5259"
"2.4200","0.7925","68.1624","0.7925","0.6625","0.5292"
"2.4400","0.7988","68.5920","0.7988","0.6678","0.5326"
"2.4600","0.8054","69.1076","0.8054","0.6733","0.5366"
"2.4800","0.8121","69.6844","0.8121","0.6789","0.5411"
"2.5000","0.8195","70.2859","0.8195","0.6851","0.5457"
"2.5200","0.8282","70.9957","0.8282","0.6923","0.5512"
"2.5400","0.8349","71.7462","0.8349","0.6979","0.5571"
"2.5600","0.8403","72.2941","0.8403","0.7025","0.5613"
"2.5800","0.8459","72.6778","0.8459","0.7071","0.5643"
"2.6000","0.8521","73.0586","0.8521","0.7123","0.5673"
"2.6200","0.8587","73.5640","0.8587","0.7179","0.5712"
"2.6400","0.8655","74.1860","0.8655","0.7236","0.5760"
"2.6600","0.8733","74.8657","0.8733","0.7300","0.5813"
"2.6800","0.8817","75.6546","0.8817","0.7371","0.5874"
"2.7000","0.8877","76.4234","0.8877","0.7421","0.5934"
"2.7200","0.8931","76.9405","0.8931","0.7467","0.5974"
"2.7400","0.8990","77.3499","0.8990","0.7515","0.6006"
"2.7600","0.9054","77.8162","0.9054","0.7569","0.6042"
"2.7800","0.9122","78.4018","0.9122","0.7626","0.6087"
"2.8000","0.9191","79.0686","0.9191","0.7684","0.6139"
"2.8200","0.9270","79.7987","0.9270","0.7749","0.6196"
"2.8260","0.9295","80.0367","0.9295","0.7770","0.6214"

