Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0074","0.0000","0.0000","0.0001"
"0.0200","0.0004","0.0066","0.0004","0.0004","0.0001"
"0.0400","0.0017","0.0199","0.0017","0.0017","0.0002"
"0.0600","0.0061","0.0487","0.0061","0.0062","0.0004"
"0.0800","0.0138","0.0668","0.0138","0.0139","0.0005"
"0.1000","0.0218","0.0491","0.0218","0.0219","0.0004"
"0.1200","0.0308","0.0311","0.0308","0.0309","0.0002"
"0.1400","0.0375","0.0094","0.0375","0.0377","0.0001"
"0.1600","0.0427","0.0070","0.0427","0.0429","0.0001"
"0.1800","0.0478","0.0107","0.0478","0.0480","0.0001"
"0.2000","0.0535","0.0271","0.0535","0.0537","0.0002"
"0.2200","0.0595","0.0459","0.0595","0.0598","0.0004"
"0.2400","0.0655","0.0796","0.0655","0.0658","0.0006"
"0.2600","0.0724","0.1598","0.0724","0.0727","0.0012"
"0.2800","0.0808","0.2629","0.0808","0.0812","0.0020"
"0.3000","0.0879","0.3802","0.0879","0.0883","0.0030"
"0.3200","0.0936","0.4697","0.0936","0.0940","0.0036"
"0.3400","0.0992","0.5915","0.0992","0.0996","0.0046"
"0.3600","0.1053","0.7397","0.1053","0.1058","0.0057"
"0.3800","0.1119","0.9115","0.1119","0.1124","0.0071"
"0.4000","0.1183","1.1370","0.1183","0.1189","0.0088"
"0.4200","0.1253","1.4888","0.1253","0.1258","0.0116"
"0.4400","0.1334","1.9981","0.1334","0.1340","0.0155"
"0.4600","0.1402","2.6366","0.1402","0.1408","0.0205"
"0.4800","0.1459","3.2875","0.1459","0.1466","0.0255"
"0.5000","0.1519","3.8916","0.1519","0.1526","0.0302"
"0.5200","0.1585","4.5015","0.1585","0.1592","0.0350"
"0.5400","0.1655","5.1202","0.1655","0.1663","0.0398"
"0.5600","0.1724","5.7445","0.1724","0.1732","0.0446"
"0.5800","0.1804","6.4134","0.1804","0.1812","0.0498"
"0.6000","0.1884","7.1726","0.1884","0.1893","0.0557"
