Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(mm),(%),(MPa)
"0.0000","0.0000","0.0234","0.0000","0.0000","0.0002"
"0.0200","0.0004","0.0192","0.0004","0.0004","0.0001"
"0.0400","0.0017","0.0179","0.0017","0.0017","0.0001"
"0.0600","0.0067","0.0265","0.0067","0.0067","0.0002"
"0.0800","0.0159","0.0349","0.0159","0.0159","0.0003"
"0.1000","0.0241","-0.0034","0.0241","0.0242","0.0000"
"0.1200","0.0302","-0.0295","0.0302","0.0303","-0.0002"
"0.1400","0.0359","-0.0250","0.0359","0.0361","-0.0002"
"0.1600","0.0419","0.0018","0.0419","0.0421","0.0000"
"0.1800","0.0480","0.0021","0.0480","0.0482","0.0000"
"0.2000","0.0539","-0.0075","0.0539","0.0542","-0.0001"
"0.2200","0.0604","0.0062","0.0604","0.0606","0.0000"
"0.2400","0.0680","0.0271","0.0680","0.0683","0.0002"
"0.2600","0.0743","0.0960","0.0743","0.0747","0.0007"
"0.2800","0.0796","0.2507","0.0796","0.0800","0.0019"
"0.3000","0.0853","0.4974","0.0853","0.0857","0.0039"
"0.3200","0.0916","0.7833","0.0916","0.0920","0.0061"
"0.3400","0.0987","1.1847","0.0987","0.0992","0.0092"
"0.3600","0.1059","1.6971","0.1059","0.1064","0.0132"
"0.3800","0.1136","2.2720","0.1136","0.1141","0.0176"
"0.4000","0.1222","2.9078","0.1222","0.1228","0.0226"
"0.4200","0.1285","3.5545","0.1285","0.1291","0.0276"
"0.4400","0.1338","4.1157","0.1338","0.1344","0.0320"
"0.4600","0.1392","4.6124","0.1392","0.1398","0.0358"
"0.4800","0.1454","5.1040","0.1454","0.1461","0.0396"
"0.5000","0.1524","5.6469","0.1524","0.1531","0.0438"
"0.5200","0.1593","6.3012","0.1593","0.1601","0.0489"
"0.5400","0.1670","7.0160","0.1670","0.1678","0.0545"
"0.5600","0.1755","7.8238","0.1755","0.1763","0.0607"
"0.5800","0.1817","8.6548","0.1817","0.1825","0.0672"
"0.6000","0.1871","9.3661","0.1871","0.1880","0.0727"
"0.6200","0.1925","9.9701","0.1925","0.1934","0.0774"
"0.6400","0.1985","10.5435","0.1985","0.1994","0.0819"
"0.6600","0.2048","11.1568","0.2048","0.2057","0.0866"
"0.6800","0.2112","11.8351","0.2112","0.2122","0.0919"
"0.7000","0.2188","12.5405","0.2188","0.2198","0.0974"
"0.7200","0.2274","13.3549","0.2274","0.2285","0.1037"
"0.7400","0.2339","14.2210","0.2339","0.2350","0.1104"
"0.7600","0.2397","14.9754","0.2397","0.2407","0.1163"
"0.7800","0.2454","15.6157","0.2454","0.2465","0.1212"
"0.8000","0.2519","16.2400","0.2519","0.2530","0.1261"
"0.8200","0.2586","16.9128","0.2586","0.2598","0.1313"
"0.8400","0.2651","17.6329","0.2651","0.2663","0.1369"
"0.8600","0.2728","18.3842","0.2728","0.2740","0.1427"
"0.8800","0.2807","19.1932","0.2807","0.2820","0.1490"
"0.9000","0.2867","20.0133","0.2867","0.2880","0.1554"
"0.9200","0.2925","20.7003","0.2925","0.2939","0.1607"
"0.9400","0.2987","21.3112","0.2987","0.3001","0.1655"
"0.9600","0.3056","21.9460","0.3056","0.3069","0.1704"
"0.9800","0.3125","22.6251","0.3125","0.3139","0.1757"
"1.0000","0.3199","23.3386","0.3199","0.3214","0.1812"
"1.0200","0.3286","24.1074","0.3286","0.3301","0.1872"
"1.0400","0.3353","24.9240","0.3353","0.3369","0.1935"
"1.0600","0.3407","25.6076","0.3407","0.3422","0.1988"
"1.0800","0.3462","26.1549","0.3462","0.3477","0.2031"
"1.1000","0.3522","26.6512","0.3522","0.3538","0.2069"
"1.1200","0.3589","27.2039","0.3589","0.3605","0.2112"
"1.1400","0.3655","27.8257","0.3655","0.3672","0.2160"
"1.1600","0.3723","28.4688","0.3723","0.3740","0.2210"
"1.1800","0.3805","29.1524","0.3805","0.3822","0.2263"
"1.2000","0.3875","29.8945","0.3875","0.3893","0.2321"
"1.2200","0.3931","30.5476","0.3931","0.3948","0.2372"
"1.2400","0.3988","31.0736","0.3988","0.4006","0.2413"
"1.2600","0.4051","31.5415","0.4051","0.4069","0.2449"
"1.2800","0.4122","32.0477","0.4122","0.4141","0.2488"
"1.3000","0.4192","32.6245","0.4192","0.4211","0.2533"
"1.3200","0.4269","33.2181","0.4269","0.4289","0.2579"
"1.3400","0.4353","33.8593","0.4353","0.4372","0.2629"
"1.3600","0.4413","34.4735","0.4413","0.4433","0.2677"
"1.3800","0.4467","34.9184","0.4467","0.4487","0.2711"
"1.4000","0.4522","35.2604","0.4522","0.4542","0.2738"
"1.4200","0.4586","35.6331","0.4586","0.4606","0.2767"
"1.4400","0.4655","36.1046","0.4655","0.4676","0.2803"
"1.4600","0.4724","36.7209","0.4724","0.4746","0.2851"
"1.4800","0.4803","37.4043","0.4803","0.4825","0.2904"
"1.5000","0.4887","38.1731","0.4887","0.4910","0.2964"
"1.5200","0.4948","38.9381","0.4948","0.4971","0.3023"
"1.5400","0.5003","39.5645","0.5003","0.5026","0.3072"
"1.5600","0.5061","40.0904","0.5061","0.5084","0.3113"
"1.5800","0.5125","40.6286","0.5125","0.5148","0.3155"
"1.6000","0.5191","41.2166","0.5191","0.5215","0.3200"
"1.6200","0.5258","41.8477","0.5258","0.5281","0.3249"
"1.6400","0.5336","42.5167","0.5336","0.5360","0.3301"
"1.6600","0.5412","43.2384","0.5412","0.5437","0.3357"
"1.6800","0.5467","43.9451","0.5467","0.5492","0.3412"
"1.7000","0.5523","44.5177","0.5523","0.5548","0.3457"
"1.7200","0.5584","45.0379","0.5584","0.5609","0.3497"
"1.7400","0.5651","45.5970","0.5651","0.5676","0.3540"
